Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, 2D Arrangement Demo Enhancement with New Geometric Curves ,"By playing around with the 2D Arrangement demo, users can have a visual and direct experience on what functionalities to expect from this module...", Tianyu Zhou , Mentor  Efi Fogel , Organization  The CGAL Project ,/archive/2017/projects/6217820933193728,https://github.com/CGAL/cgal/issues/2367
2, Simple Features for protobuf and others ,The Simple Feature Access Specification (aka. Simple Features) is a common standard for exchanging spatial features that is widely used in..., Malith Withanage Don ," Mentor  AdW, Christoph Stasch, Christian Autermann ", Organization  52°North Initiative for Geospatial Open Source Software GmbH ,/archive/2017/projects/6219606565847040,https://github.com/52North/topology-serialization-framework
3, Port Marmotta to Eclipse RDF4J ,Apache Marmotta has become one of the most prominent projects within the open source community of Linked Data. It brings together the standards of..., Gustavo Mora ," Mentor  c.uent, Sergio Fernández ", Organization  Apache Software Foundation ,/archive/2017/projects/6223317417590784,https://wiki.apache.org/marmotta/GSoC/2017/MARMOTTA-659
4, Machine Learning Project: Multi-target Regression for Particle Physics ,"Toolkit for Multivariate Data Analysis (TMVA) is a multi-purpose machine learning toolkit integrated into the ROOT scientific software network, used...", Brian Lui ," Mentor  Sergei Gleyzer, Harrison Prosper, Omar Zapata ", Organization  CERN-HSF ,/archive/2017/projects/6223742887788544,https://briancylui.github.io/falcon/
5, Improved layer support and collaboration ,The proposal is towards improving the layer support and adding real time collaboration for Fabrik. I propose to add support for some essential..., Utsav Garg ," Mentor  Deshraj, Viraj Prabhu ", Organization  CloudCV ,/archive/2017/projects/6224316131704832,https://utsavgarg.github.io/blog/the-end
6, FHIR OAuth Smart Apps Integration and OAuth Module Enhancements ,This is a draft proposal., Sanatt Abrol , Mentor  maany , Organization  OpenMRS ,/archive/2017/projects/6229265678860288,https://mavrk.github.io/GSOC-2017-final/
7, Training and Topic Visualizations ,"Knowing about the progress and performance of a model, as we train them, could be very helpful in understanding it’s learning process and makes it...", Parul Sethi ," Mentor  Lev Konstantinovskiy, Ivan Menshikh ", Organization  NumFOCUS ,/archive/2017/projects/6231784408743936,https://rare-technologies.com/paruls-gsoc-2017-summary-training-and-topic-visualizations-in-gensim/
8, Giving Sugar Labs Website a New Look ,"The proposal is for the project ""Giving Sugar Labs Website a New Look"". The basic requirement of the project is to provide ""www.sugarlabs.org"" a new...", P. Seetarama Raju ," Mentor  Samson Goddy, Hrishi Patel ", Organization  Sugar Labs ,/archive/2017/projects/6238603474632704,https://psramarajugsocblog.wordpress.com/2017/08/29/gsoc-2017-project-final-report/
9, Better CSS Style Sheet Support ,Inkscape has basic support for CSS style sheet. Currently it can read and parse internal sheet. Aim of project is to extend its support by adding..., Vishal (DiehumbleX) , Mentor  Tavmjong , Organization  Inkscape ,/archive/2017/projects/6239022099726336,https://gitlab.com/diehumbleX/inkscape/tree/master/GSoC-2017
10, Implementation of RBD diff verification using a rolling checksum algorithm ,The main idea of the project is to provide an efficient algorithm for fast verification of the validity of RADOS block device diffs against an..., Radoslav Georgiev , Mentor  Tushar Gohad , Organization  Ceph ,/archive/2017/projects/6243190499704832,https://github.com/ceph/ceph/pull/17321
11, New module for the creation of spectra for TARDIS ,The goal of this project is to finish the implementation of the formal integral approach for generating spectra which was started during last years..., slietzau ," Mentor  wkerzendorf, Talytha Barbosa, Ulrich Nöbauer ", Organization  Python Software Foundation ,/archive/2017/projects/6243763743621120,https://tardisdevloggsoc2017.wordpress.com/2017/08/28/final-evaluation-recap-summary/
12, Improving phpMyAdmin's Selenium testsuite and Error Reporting Server ,"phpMyAdmin has been around for more than eighteen years now. Over all these years, a variety of new features have been added to it. In wake of new...", Deven Bansod , Mentor  Michal Čihař , Organization  phpMyAdmin ,/archive/2017/projects/6246403672113152,https://devenbansod.wordpress.com/2017/08/26/google-summer-of-code-17-with-phpmyadmin-summary/
13, Maximum Likelihood Estimation for count data ,"The goal of this project is to implement maximum likelihood models for different distribution. Each model require log-likelihood function, first and...", Evgeny Zhurko ," Mentor  Chad Fulton, Josef Perktold ", Organization  Python Software Foundation ,/archive/2017/projects/6246765523107840,https://gist.github.com/evgenyzhurko/c1f0cf1b94aceb067b1ccd24c06a9ad7
14, Zenodo Research Profile ,Zenodo is a great initiative for researchers and invenio is a collection of wonderful APIs. I have chosen this project because it targets every..., jainaman224 ," Mentor  Krzysztof Nowak, Alex ", Organization  Zenodo ,/archive/2017/projects/6248952064114688,https://docs.google.com/document/d/1_ohQqpsYx7PlUhT8CqINVt57bydy15SCl995JkMIkUY/edit?usp=sharing
15, Interactive Genome Browser in R ,The project intends to provide an interactive and user-friendly way to visualizing track-based genomic data by wrapping the flexible TnT javascript..., Jialin Ma ," Mentor  Miguel Pignatelli, Toby Dylan Hocking ", Organization  R project for statistical computing ,/archive/2017/projects/6249294453538816,https://github.com/Marlin-Na/TnT
16, VP9 decoder improvements ,Assembly optimizations that take advantage of avx2 instruction set to provide performance improvements to the vp9 decoder. Tile threading support., Ilia Valiakhmetov , Mentor  Ronald S. Bultje , Organization  FFmpeg ,/archive/2017/projects/6251046800195584,https://gist.github.com/zakne/06618f0af3ddd490df6e8701f0c402c9
17, GitHub Issue Parser ,"The purpose of this project is to create a software tool that is capable of parsing popular online version control repositories, like GitHub, via...", Rajat Patwa , Mentor  Christos Bacharakis , Organization  Mozilla ,/archive/2017/projects/6251557632868352,https://medium.com/@razat249/google-summer-of-code-2017-report-4a86370b2b71
18, Glam2Commons (previously Single Image Batch Upload) ,The project aims to develop a tool which allows any Wikimedia Commons user to import images to Commons from the online repositories of a number of..., Siddhartha Sarkar , Mentor  Basvb , Organization  Wikimedia Foundation ,/archive/2017/projects/6252744117583872,https://infobliss.github.io/gsoc2017/
19, Improve LibreOffice for Android ,This project aims to work behind the scenes to improve the LibreOffice Android build system by switching from deprecated NDK GCC toolchain to a..., Gautam Prajapati ," Mentor  Tomaž Vajngerl, Miklos Vajna ", Organization  LibreOffice ,/archive/2017/projects/6252965845270528,https://medium.com/@gautamprajapati/gsoc-final-submission-report-libreoffice-for-android-5623d011df41
20, DNNs for Sphinx ,"In the past decade Deep Neural Networks (DNNs) have been be demonstrated to excel to wide range of learning tasks, including speech recognition. More...", Muhammad Shah ," Mentor  Bhiksha Raj, Nikolay Shmyrev ", Organization  CMU Sphinx ,/archive/2017/projects/6254753893842944,https://github.com/vagrawal/gsoc-progress/blob/master/mshah1/GSOC.ipynb
21, Migrating to Kirigami (Koko) ,"Project: Migrating the 'Koko' image gallery application's UI components to Kirigami.
Brief Explanation:
The current version of Koko uses the...", Atul Sharma ," Mentor  Bhushan Shah, Marco Martin ", Organization  KDE ,/archive/2017/projects/6254907170488320,https://community.kde.org/GSoC/2017/StatusReports/atulsharma
22, Next generation of CMS data replication system ,The CMS (Compact Muon Solenoid) is a high-energy physics experiment at the LHC. The CMS PhEDEx(Physics Experiment Data Export) project is responsible..., Rishi Shah ," Mentor  Daniele Bonacorsi, Valentin Kuznetsov ", Organization  CERN-HSF ,/archive/2017/projects/6256225993883648,https://docs.google.com/document/d/1QkyN-NsQcOPOrnyOJqn1ehXkJCM756KkKv3Dj0ltDls/edit?usp=sharing
23, Learning useful Actions for efficient planning ,"Automated Planning involves taking actions to reach the goal. The problem is that most of the practical situations have lots of actions involved, and...", Lashit Jain , Mentor  Luis J. Manso , Organization  RoboComp ,/archive/2017/projects/6257780235173888,https://gist.github.com/jainlashit/e017f7fa1bf1a319c82bd92ca640ec96
24, p5.js addon and examples for spatial and data mapping. ,This proposal describes a project to build a set of p5.js tools around mapping with the specific purpose of being able to quickly and smoothly add a..., Cristobal Valenzuela , Mentor  Daniel Shiffman , Organization  The Processing Foundation ,/archive/2017/projects/6258464745586688,https://github.com/cvalenzuela/Mappa
25, Robust KF-based Tracking Techniques for Advanced GNSS Receivers ,"The currently available tracking technique in GNSS-SDR includes three parameters(code phase, Doppler shift, carrier phase). The GNSS-SDR technique...", Shashanka Joisa ," Mentor  Carles Fernandez-Prades, Jordi Vilà-Valls ", Organization  GNSS-SDR ,/archive/2017/projects/6261573228167168,https://trackinggsoc.wordpress.com/
26, A Module for client-side File encryption ,Objective : This project will involve building a complete module for Drupal 8 site to make it a zero-knowledge system using front-end JS encryption..., Tameesh Biswas ," Mentor  Colan Schwartz, Adam Bergstein ", Organization  Drupal ,/archive/2017/projects/6262315720638464,https://www.drupal.org/node/2904242
27, Mobile-Based Blood-Sample Image Analysis(iOS) ,The aim of this project is to use the camera and processing power of modern day cell phones to develop an intuitive and user-friendly application for..., Abdul Fatir Ansari ," Mentor  Tomas Helikar, Jiri Adamec ", Organization  Computational Biology @ University of Nebraska-Lincoln ,/archive/2017/projects/4503987785039872,http://abdulfatir.github.io/GSoC17/index.html
28," Sun, Right now! ","The Sun releases large amounts of magnetic energy in the form of X-rays, EUV (Extreme ultraviolet), radio waves and high energy particles regularly....", Punyaslok Pattnaik ," Mentor  David PS, Cadair ", Organization  OpenAstronomy ,/archive/2017/projects/4506490677231616,https://github.com/Punyaslok/sunrightnow/pull/2
29, Implementing RESTful web services for EvalAI ,"EvalAI is an evaluation server that will host AI challenges like Visual Question Answering, Image Captioning. In recent years, it has become...", Rishabh Jain ," Mentor  Deshraj, Akash Jain, Taranjeet Singh, Shiv Baran Singh ", Organization  CloudCV ,/archive/2017/projects/4507838760091648,https://medium.com/@rishabhjain17/gsoc17-with-cloudcv-final-report-a50e964d2e87
30, Warn if virtual calls are made from constructors or destructors ,"In C++, virtual functions let instances of related classes have different behavior at run time. Pure function called from constructors and...", Xin Wang ," Mentor  Gábor Horváth, Devin Coughlin, Artem Dergachev ", Organization  LLVM Compiler Infrastructure ,/archive/2017/projects/4512343912349696,https://docs.google.com/document/d/1OL4w0HrvjgPY-zQb_p4yTMFDrYcjvxu0frcAjedLJs8/edit?usp=sharing
31, GPU implementations for MOOSE ,"Neuronal and multiscale simulations are computationally demanding, they require large numbers of very similar calculations. One of the core problems...", Micky ," Mentor  Dilawar Singh, Upinder Bhalla ", Organization  INCF ,/archive/2017/projects/4514656752238592,http://gsocmoose2017.blogspot.in/2017/08/parallelization-in-moose_25.html
32, Active Set Based Second-order Algorithm for Sparse Learning ,"For sparse learning problems, such as sparse generalized linear models and sparse undirected graphical model estimation, the current R packages still...", Jason Ge ," Mentor  Xingguo, Tuo Zhao ", Organization  R project for statistical computing ,/archive/2017/projects/4518280094023680,https://github.com/sparseML/ActiveSparseML
33, Glutton Enhancement ,"Author of glutton have proposed some new functionalities to be added in Glutton, like:

Spawn Containers
Support of YARA

I will make code for those...", M Bilal Arif , Mentor  Lukas Rist , Organization  The Honeynet Project ,/archive/2017/projects/4518801798332416,https://gist.github.com/furusiyya/38e8ca7963fd94ffc253e8b22e3338f2
34, Implementing Solvers for SymEngine ,Solving equations and system of equations is a crucial feature of Computer Algebra Systems and Polynomial factorization is one of the fundamental..., Adha Ranjith Kumar ," Mentor  Nishant Nikhil, sumith1896, Amit Kumar, Shivam Vats, Srajan Garg ", Organization  SymPy ,/archive/2017/projects/4519758099644416,https://gist.github.com/ranjithkumar007/1511475bcc2079ef77844c693a179aca
35, Combined Class Fields implementation and spec updates ,"Developers of JavaScript want to be able to test out new features to provide feedback to specification drafts, as well as making their code more...", Karl Cheng ," Mentor  Sven Sauleau, Brian Ng, Henry Zhu, Andrew Levine ", Organization  Babel ,/archive/2017/projects/4523493647450112,http://qantas94heavy.github.io/gsoc2017.html
36, Elmer-Integration ,This proposal targets the “Elmer-Integration” project outlined in the “Google Summer of Code” article on the wiki..., Markus Hovorka ," Mentor  Bernd Hahnebach-1, HoWil ", Organization  BRL-CAD ,/archive/2017/projects/4528647608205312,https://forum.freecadweb.org/viewtopic.php?f=18&t=22576&p=188021#p188021
37, Package Vulnerability Data Feed & Scanner ,"The usage of any open source software is primarily guided by the licenses binding it. Individuals/Organisations, generally make the decision of using...", Kartik Sibal ," Mentor  Thomas Druez, Steven Esser, Phil Ombredanne ", Organization  AboutCode ,/archive/2017/projects/4528971072929792,https://github.com/nexB/vulnerablecode/wiki/Final-Project-Report
38, Implementing I/O throttling and write notifiers into filter Block Drivers ,I/O throttling is currently hard-coded in QEMU. A request is checked for throttling directly in block-backend.c instead of having a filter driver..., Manos Pitsidianakis ," Mentor  Kevin Wolf, Stefan Hajnoczi ", Organization  QEMU ,/archive/2017/projects/4532831443222528,https://lists.nongnu.org/archive/html/qemu-devel/2017-08/msg05371.html
