Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Ask SCORE - Community App ,"Ask SCORE app is the community app, which helps organisation in Collaboration, teamwork, promotion, cooperation with their members(Mentors, Mentees,...", Abhi Kulshrestha ," Mentor  Shehan Dhaleesha, Wathsara Daluwatta ", Organization  SCoRe Lab ,/archive/2021/projects/5631385095634944,https://github.com/scorelab/GSoC/blob/master/GSoC-2021/01-Abhi%20Kulshrestha-Ask-SCORE-Community-App.md
2, Cloud Native Buildpacks [CNCF] Project: Automatic Buildpack Registry Action Updates ,Buildpacks are pluggable tools that can be used to transform the source code to OCI compliant images (Docker images) that can run on any cloud. It is..., Mritunjay Sharma , Mentor  Joe Kutner , Organization  CNCF ,/archive/2021/projects/5631466431578112,https://mritunjaysharma394.medium.com/summary-of-gsoc21-with-cloud-native-buildpacks-611f1239b12e
3, Add zoom and pan to the Wikisource Pagelist Widget ,The Wikisource Pagelist Widget is an OOUI based widget that streamlines the process of creating a pagelist for new (and existing) Wikisource users...., Yash Agrawal ," Mentor  Sam Wilson, Satdeep Gill, Sohom Datta ", Organization  Wikimedia Foundation ,/archive/2021/projects/5634499987111936,https://medium.com/@yashagrawal4357/gsoc21-final-report-384ae9377e83
4, Add dynamic load module support for SOF ,Add dynamic load module support for SOF, Liviu-Alexandru Bud , Mentor  Daniel Baluta , Organization  The Linux Foundation ,/archive/2021/projects/5635260464758784,https://potochi.github.io/post/gsoc_sof/
5," Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic ","The objective of this project is to build a pipeline for decentralized (IPFS) storage of BIDS-compliant neuroimaging data, with support for version...", kinshuk ," Mentor  Anibal Solon, hebbianloop ", Organization  INCF ,/archive/2021/projects/5636375545643008,https://kinshukk.github.io/posts/gsoc-summary-and-future-thoughts/
6, Improving Series Expansions ,"The current implementation of series expansions in SymPy is developed to a large extent, but not complete. There are a few limit failures that need...", Sidharth Mundhra ," Mentor  Sachin Agarwal, Kalevi Suominen ", Organization  SymPy ,/archive/2021/projects/5636749543342080,https://github.com/sympy/sympy/wiki/GSoC-2021-Report:-Improving-Series-Expansion-(Sidharth-Mundhra)
7, Exercise using Deep Learning for Visual Detection ,The main goal of this project is to build a new template and a backend architecture running on a docker container for visual detection exercises...., Shashwat Dalakoti ," Mentor  Pankhuri Vanjani, David Pascual Hernández ", Organization  JdeRobot - Universidad Rey Juan Carlos ,/archive/2021/projects/5636983686168576,https://theroboticsclub.github.io/gsoc2021-Shashwat_Dalakoti/
8, [Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl ,"This project aims to integrate the Makie plotting ecosystem for the Julia programming language within the library Gridap, used to approximate partial...", Pau Riera i Portillo ," Mentor  Eric Neiva, ALBERTO F. MARTIN, Francesc Verdugo ", Organization  NumFOCUS ,/archive/2021/projects/5637150787239936,https://github.com/gridap/GridapMakie.jl/pull/24
9, Boston.gov Solar Roof Potential ,"This project uses computer vision, satellite imaging (Google Earth), and Analyze Boston to build a lightweight web service API that provides data on...", Nnamdi ," Mentor  Nigel Jacob, Michael Evans ", Organization  Mayor's Office of New Urban Mechanics (City of Boston) ,/archive/2021/projects/5637487203975168,https://github.com/monum/boston-solar-potential
10, Machine Learning Extension to Ignition Gazebo ,The project is about providing Ignition Gazebo with features of datasets generation to improve deep learning models training by implementing varies..., Amr Elsersy , Mentor  Ashton Larkin , Organization  Open Robotics ,/archive/2021/projects/5640022945955840,https://community.gazebosim.org/t/gsoc-2021-machine-learning-extension-to-ignition-gazebo/1070
11, Custom formatting of strings in MariaDB queries ,"The objective of this project is to create a new string formatting function, similar to printf in C and format in Python, in MariaDB to avoid complex...", Alan Cueva ," Mentor  Vicențiu-Marian Ciorbaru, Sergei Golubchik ", Organization  MariaDB Foundation ,/archive/2021/projects/5640122367737856,https://github.com/MariaDB/server/pull/1862
