Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1," Migration of the backend to Express, GraphQL, and MongoDB ","Currently, the backend of the journal policy tracker is on Flask and SQLite3. The goal for this project is to create a full-fledged functioning...", Devesh Kumar ," Mentor  YoYehudi, Pritish ", Organization  Open Bioinformatics Foundation (OBF) ,/archive/2022/projects/vTyb8f1v,https://gist.github.com/d-e-v-esh/d0c7cde2bdfecde2e265b7d63dd1c89a
2, FluxML - Metalhead.jl development ,"This project aims to improve the existing deep learning for computer vision ecosystem in Julia, especially by adding more models that users can use...", Abhirath Anand , Mentor  Kyle Daruwalla , Organization  NumFOCUS ,/archive/2022/projects/7vJUICs0,https://drive.google.com/file/d/1igo5LbqWqdUFNKUrK9VngLQSbLYz9jTl/view?usp=sharing
3, Develop JAX examples and demos for an ML upcoming textbook ,I propose to address the existing challenges with the current codebase of the book and then contribute new code for several figures for the upcoming..., Zeel B Patel , Mentor  Kevin  Murphy , Organization  TensorFlow ,/archive/2022/projects/uZY2MwtW,https://patel-zeel.github.io/gsoc22
4, Extend API / Distributed file sharing ,The project aims at improving and extending the current PEcAn REST API's by making it more robust and dynamic from the user's perspective. The..., Nihar Sanda ," Mentor  Rob Kooper, Istem Fer ", Organization  PEcAn Project ,/archive/2022/projects/vN1P5m66,https://koolgax99.github.io/posts/gsoc-2022-final-report/
5, Support More Java String Functions in SPF ,"String solving is an important feature of symbolic execution for successful security and correctness analysis. In Java Symbolic Pathfinder (SPF), a...", Qiuchen Yan ," Mentor  Cyrille Artho, Pavel Parizek, Elena Sherman ", Organization  The JPF team ,/archive/2022/projects/PNS1YxFc,https://github.com/yanxx297/jpf-symbc/blob/mjr/dev_init_igen/doc/Z3str3-string-support.md
6, Interfaces for consistent statistical analysis in the Python Spatial Analysis Library (PySAL) ,"For many users of statistical software, the most important aspect of a statistical software package is convenience. Therefore, it is important to...", Tyler Hoffman ," Mentor  Levi John Wolf, Taylor Oshan, Serge Rey, knaaptime ", Organization  NumFOCUS ,/archive/2022/projects/NjFg0H2U,https://www.tdhoffman.com/gsoc2022
7, SciPy: Restructuring the F2PY frontend and replacing the build system ,F2PY is an open-source utility that provides an easy connection between Python and Fortran languages. It enables users to integrate Fortran code into..., Namami Shanker ," Mentor  czgdp1807, Rohit Goswami ", Organization  Python Software Foundation ,/archive/2022/projects/w3AXQo5h,https://namamishanker.github.io/posts/gsoc-closing-remarks/
8, CSV Importer and Improve Preferences UI/UX ,My proposal has 2 subprojects associated to improve the app: CSV Importer and Improve Preferences UI/UX. CSV files are a very useful way to organize..., Brayan Oliveira ," Mentor  David, Akshay Jadhav, Manikant ", Organization  AnkiDroid ,/archive/2022/projects/C9pmMeIt,https://gist.github.com/BrayanDSO/82c713050e8af049489a6ed7db2b5515
9, Mobile — Easier Editing ,The current editor in the Joplin mobile app lacks features. The beta editor is buggy and often frustrating. Users with styluses and touchscreens are..., Henry H , Mentor  Daeraxa , Organization  Joplin ,/archive/2022/projects/RCS4HdVg,https://personalizedrefrigerator.github.io/personalSite/2022/09/05/gsoc-final-reflection/
10, Finding Exoplanets with Astronomical Observations ,The ultimate purpose of this project is to train image-based deep learning models to detect planets embedded in protoplanetary disks. This will be..., Jason Terry ," Mentor  ML4SCI, Emanuele Usai, Ali Hariri ", Organization  Machine Learning for Science (ML4SCI) ,/archive/2022/projects/ifDd82zk,https://github.com/ML4SCI/EXXA/tree/main/KINEMATIC_APPROACH
11, Implementing auto-vectorization hints for par_unseq and unseq versions of HPX parallel algorithms ,C++ 17 and 20 released the par_unseq and unseq execution models which give guarantees to functions which specialize on them that data access..., A Kishore Kumar ," Mentor  Srinivas Yadav, Nikunj Gupta ", Organization  Ste||ar group ,/archive/2022/projects/Xtj2bzL7,https://github.com/akcube/hpx
12, Scancode.io/Scancode Toolkit: Create web application to scan and review a single license text ,"Create a web app and JSON Rest API to detect any text for license, and submit bugs (SCTK-aaS). This project is to create a web-based mini application...", lf32 ," Mentor  Philippe Ombredanne, ayansinha, AvishrantSh, Thomas Druez ", Organization  AboutCode ,/archive/2022/projects/qLGnC87T,https://aboutcode.readthedocs.io/en/latest/archive/gsoc/reports/2022/scancodeio_akhil.html
13, Ion mobility data format support ,This project aims add support for new data formats of ion mobility-mass spectrometry data. Data from additional formats shall be read into the MZmine..., Tarush Singh , Mentor  SteffenHeu , Organization  MZmine ,/archive/2022/projects/GDw7Ye9P,https://github.com/mzmine/mzmine3/pull/763
14, cve-bin-tool: Add new datasources for vulnerabilities ,cve-bin-tool currently uses the National Vulnerability Database as its only source of vulnerabilities. However not all vulnerabilities are captured..., rhythmrx9 ," Mentor  Terri Oda, aph, imsahil007 ", Organization  Python Software Foundation ,/archive/2022/projects/ZNQcn6qI,https://gist.github.com/rhythmrx9/dbabb682f04f9a648cc6231b986c4aec
15, Conversion between GenBank and SBOL3 ,The SBOL-Utilities repository is a python library that provides many useful methods and utilities on top of the main PySBOL3 implementation of SBOL3...., Mohit Makwana ," Mentor  Tom Mitchell, jakebeal, Vishwesh Kulkarni ", Organization  National Resource for Network Biology (NRNB) ,/archive/2022/projects/IvKQhkk9,https://github.com/SynBioDex/SBOL-utilities/pull/186
