Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, ProRes Vulkan Encoder ,"ProRes is a popular codec for video editors and professional due to its high quality. FFmpeg has supported it for a while, but lacks hardware...", Geo Ster ," Mentor  Niklas Haas, Lynne Null ", Organization  FFmpeg ,/archive/2025/projects/PHTgRqGg,https://gist.github.com/raphaelthegreat/32854d68d2d64cb330d56545e58d9c97
2, LLM-Powered Interactive Chat Interface for CellMinerCDB with GraphRAG Integration ,"This project will develop an intelligent chat interface for CellMinerCDB, a cancer genomics database, using GraphRAG (Graph Retrieval-Augmented...", Milit S Patel ," Mentor  AugustinL, Yoshitaka Inoue ", Organization  National Resource for Network Biology (NRNB) ,/archive/2025/projects/G0jh7cDV,https://github.com/MilitPatel/cellminercdb_pandasai
3, Integration of Open WebUI with OpenVINO Model Server ,"Open WebUI is a very popular component that provides a user interface to generative models. It supports use cases related to text generation, RAG,...", Huanli ," Mentor  Dariusz Trawinski, Milosz Zeglarski ", Organization  OpenVINO Toolkit ,/archive/2025/projects/jpuxDLqI,https://github.com/Huanli-Gong/model_server/tree/main/demos/integration_with_OpenWebUI
4, CPA-Daemon: Behavior Driven Tests ,CPA-Daemon is a microservice (currently gRPC service) for continuous verification of C programs with CPAchecker. Clients could craft gRPC requests..., Wenyi Shi ," Mentor  Akshay Warrier, Thomas Lemberger ", Organization  Software and Computational Systems Lab at LMU Munich ,/archive/2025/projects/gfeHjXL3,https://gitlab.com/sosy-lab/software/cpa-daemon/-/merge_requests/93
5, Multi-camera calibration test ,I propose to enhance OpenCV’s multi-camera calibration pipeline by curating and organizing high-quality calibration datasets that include varied..., shyama7004 , Mentor  FYtao , Organization  OpenCV ,/archive/2025/projects/EPZ8lQ0v,https://github.com/shyama7004/opencv-multicam-gsoc/blob/5.x/README.md
6, CARTopiaX: an Agent-Based Simulation of CAR T-Cell Therapy built on BioDynaMo ,CAR T-cell therapy is a form of cancer immunotherapy that engineers a patient’s T cells to recognize and eliminate malignant cells. Although highly..., Salvador de la Torre Gonzalez ," Mentor  Vassil Vassilev, Lukas Breitwieser ", Organization  CERN-HSF ,/archive/2025/projects/VycIbWat,https://gist.github.com/salva24/c22145c877561dca80cfd42d2b0d08c8
7, New Dialog To Edit Table Styles ,LibreOffice (Writer and Calc) currently allows users to apply predefined table styles via the “AutoFormat Styles” dialog and add new styles based on..., Karthik Godha , Mentor  Rafael Lima , Organization  LibreOffice ,/archive/2025/projects/xvUbIlHA,https://karthikreddy.org/libreoffice/gsoc-final-report
8, Rust UNO Language Binding ,"LibreOffice's UNO (Universal Network Objects) component model currently lacks support for the Rust programming language, creating a barrier for Rust...", Mohamed Ali Mohamed , Mentor  Stephan Bergmann , Organization  LibreOffice ,/archive/2025/projects/42tsJZ3Z,https://gist.github.com/moabo3li/3eba3803d127e1640fb44f9a09b718b7
9, Integrating Agents.jl with Reinforcement Learning Techniques ,"The proposal aims to integrate the Julia package Agents.jl (for agent-based modeling) with ReinforcementLearning.jl or Crux.jl, enabling intelligent...", giorgio bertone ," Mentor  Datseris, Adriano Meligrana ", Organization  The Julia Language ,/archive/2025/projects/T5qvWEvO,https://github.com/bergio13/GSoC-2025/blob/main/README.md
10, CVE Binary Tool : Vex Tooling ,"Currently, the CVE-BIN-TOOL supports basic VEX triage functionality but lacks user-friendly tools for editing, validating, and managing VEX data....", Jigyasu Rajput ," Mentor  Terri Oda, aph, mastersans, Steve Miller ", Organization  Python Software Foundation ,/archive/2025/projects/yL8zX827,https://gist.github.com/JigyasuRajput/5b55a6e9af8574604c5b06e1ba50ef9f
11, Developing a FHIR Resource Tabular Viewer for Efficient Data Exploration. ,"Healthcare data is critical for decision-making, but the FHIR (Fast Healthcare Interoperability Resources) format, while powerful, can be challenging...", Manjula , Mentor  Paul Murdoch , Organization  Data for the Common Good ,/archive/2025/projects/a82WR3tt,https://gist.github.com/Manjula-819/42846f0fb34e555e242c73799072d8de
12, UC Open Source Repository Browser [UC ORB] ,The University of California Open Source Repository Browser (UC ORB) is a discovery platform that maps and categorizes open source projects across..., Param Arora ," Mentor  Stephanie C Lieggi, Juanita Gomez ", Organization  UC OSPO ,/archive/2025/projects/XZ9zEll1,https://github.com/UC-OSPO-Network/orb-showcase
13, Create a service to get a new project to Fedora more easily ,Build a service to simplify the process of onboarding new packages to Fedora with a pull-request based workflow that integrates seamlessly with..., Mayank_Singh ," Mentor  Sumantro Mukherjee, lachmanfrantisek ", Organization  Fedora Project ,/archive/2025/projects/L1vTOizh,https://github.com/mynk8/gsoc-2025
14, Enhancing OpenCV's imgcodecs Module Code Refactoring and Feature Improvements ,"The goal of this project is to improve OpenCV’s imgcodecs module by reducing code duplication, enhancing performance, and improving format support....", Suleyman Turkmen , Mentor  Vincent Rabaud , Organization  OpenCV ,/archive/2025/projects/hq9jbCAK,https://gist.github.com/sturkmen72/ba3b038ee72efbbbad7a9ad8c503e5f6
15, Implementing a deprecation system for Ganga ,"This project aims to introduce a structured, automated deprecation system for the Ganga project. Ganga currently lacks a formal process for phasing...", Kossi GLOKPOR ," Mentor  Alexander Richards, Ulrik ", Organization  CERN-HSF ,/archive/2025/projects/hIrlU5CX,https://github.com/ganga-devs/ganga/pull/2422
16, Bountiful-Ergo Bounty & StablePay: Decentralized bounty platform and enhanced crypto payments ,"This project aims to contribute to two impactful open-source initiatives under AOSSIE: Bountiful-Ergo Bounty, a decentralized bounty platform on the...", Nidhi_Singh ," Mentor  Bruno, Aditya Bhattad, Anshdeep Singh, Roshan Raj Singh, Yogesh Agrawal, José Miguel Avellana, ldgaetano ", Organization  AOSSIE ,/archive/2025/projects/YhmZu7PL,https://github.com/Nidhicodes/GSoC-2025/blob/main/GSoC-25-Report.md
17, BMv2 With All Possible Output Packets ,"P4 empowers developers to program the data plane of network devices—switches, routers, and NICs—at a level of detail previously only accessible to...", Xiyu Hao ," Mentor  Jonathan DiLorenzo, Bili Dong (qobilidop), Matthew Lam ", Organization  The P4 Language Consortium ,/archive/2025/projects/dsjZn7sx,https://github.com/p4lang/gsoc/tree/main/2025/projects/bmv2_pkt_out
