Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Lazy Formal Power Series ,"A formal power series is a (potentially) infinite sequence of coefficients. It turns out to be practical to denote it as an infinite series, although...", Tejasvi Chebrolu ," Mentor  Travis Scrimshaw, mantepse ", Organization  SageMath ,/archive/2021/projects/5077172414316544,https://trac.sagemath.org/ticket/31651
2, Room Database Integration ,"Since the migration to Android Architecture Components has already started, this project aims to integrate Room instead of SQLiteDatabase as a better...", Nur El-Din El-Rez ," Mentor  Stefan Kutschera, Wolfgang Slany ", Organization  International Catrobat Association ,/archive/2021/projects/5077392665608192,https://github.com/ndrnour/Catroid/blob/gsoc_evaluation/gsoc_21_work_product.md
3, Graphical-User Interface for affective human-robot interactions ,"Interaction of a robot with the operator (human) is an important and daunting task. The aim of this project would be to create a clean, modern and...", Aditya Kasibhatla ," Mentor  Rishi Gondkar, Pedro Núñez ", Organization  RoboComp ,/archive/2021/projects/5078415975120896,https://github.com/dev-kasibhatla/gsoc-conversationalAgent
4, DBpedia Live Neural Question Answering Chatbot - GSoC2021 ,"This project aims at building a chatbot that can query the DBpedia based on the (DBQNA) dataset, Using Natural language as well as Query language so...", Ashutosh Kumar-1 ," Mentor  Edgard Marx, Diego Moussallem, Thiago Castro Ferreira, Nausheen Fatma ", Organization  DBpedia ,/archive/2021/projects/5079396536287232,https://ashutoshk11220.medium.com/gsoc-21-complete-journey-with-dbpedia-4ef0b5b0602a
5, Macromedia Director ,Help to develop the Macromedia Director tool., Crane yang , Mentor  Eugene Sandulenko , Organization  ScummVM ,/archive/2021/projects/5079579542159360,https://blogs.scummvm.org/sheep/2021/08/21/beginging-or-the-ending-gsoc-summary/
6, A Framework for Multiobjective Optimizers ,"The mlpack library boasts an extensive set of objective optimizers, almost all of which focus on single-objective problems. Previous works by Sayan...", Nanubala Gnana Sai ," Mentor  James Balamuta, Sayan Goswami, Marcus Edel ", Organization  mlpack ,/archive/2021/projects/5083838471995392,https://github.com/jonpsy/GSoC-2021-mlpack
7, Optimizing build and deploy in Kworkflow: towards the Beta release ,"The main goal of this project is to make kw ready for it’s Beta release. The work is divided into two stages. The first one, corresponding to the...", João Seckler , Mentor  Siqueira , Organization  The Linux Foundation ,/archive/2021/projects/5084230253543424,https://docs.google.com/spreadsheets/d/1Fl-mLcXNZ04U_mqssxnGiuFKXxicefw0Kbf1FzGHSy8/edit#gid=0
8, Matplotlib: Revisiting Text/Font Handling ,"Matplotlib is a comprehensive library for creating static, animated, and interactive visualizations, which has become a de-facto Python plotting...", Aitik Gupta ," Mentor  Hannah, Thomas Caswell ", Organization  NumFOCUS ,/archive/2021/projects/5084422319112192,https://matplotlib.org/matplotblog/posts/gsoc_2021_final/
9, Flutter Desktop Tool ,The main aim of the project is to build a desktop tool that demonstrates how to build desktop apps using Flutter and at the same time be of some use..., Abdullah Deshmukh , Mentor  Brett Morgan , Organization  Dart ,/archive/2021/projects/5085568169410560,https://link.medium.com/Pd5G19IUVib
10, Containerisation of Apache Synapse ESB ,"The Apache Synapse ESB currently exists as a standard server runtime, the same state it’s been since inception. However cloud native technologies...", Nuwan Jayawardene ," Mentor  Isuru Udana, Vanjikumaran Sivajothy ", Organization  The Apache Software Foundation ,/archive/2021/projects/5088417175568384,https://github.com/n-jay/gsoc-2021/tree/feature1
11, LFortran: Finish AST generation ,"This project aims to ensure that all the grammar rules defined are exposed to the AST(Abstract Syntax Tree) level.
    ‣ Basically working on Lexical...", Thirumalai Shaktivel , Mentor  Ondřej Čertík , Organization  Fortran-lang ,/archive/2021/projects/5088526328135680,https://gist.github.com/Thirumalai-Shaktivel/c2a1aaa5239e792e499eaa8942987519
12, Improving Zulip Bots and Integrations. ,"Zulip provides powerful utility for bots and integrations, but parts of the system (like embedded bots) are still work in progress. To encourage more...", Zixuan Li ," Mentor  Eeshan Garg, Adam Birds ", Organization  Zulip ,/archive/2021/projects/5090105164824576,https://docs.google.com/document/d/1VSvoNNWaUb0o1JedGUjhxYvjaEvZlSC3evoUGNyPlkA/edit?usp=sharing
13, Add gdb pretty printer support for Qt5 ,Pretty printer to show variables and objects in human readable format, Chukwuebuka Ezike , Mentor  Ralf Habacker , Organization  KDE Community ,/archive/2021/projects/5091756680413184,https://community.kde.org/GSoc/2021/StatusReports/EzikeChukwuebuka
14, Copyright False Positive Detection Using ML ,Fossology's copyright detection agent uses a rule-based approach to detect copyright statements but the agent is showing a lot of False Positives..., Kaushlendra Pratap Singh ," Mentor  HastagAB, Anupam Ghosh, GMishx, Vasudev ", Organization  FOSSology ,/archive/2021/projects/5092933132353536,https://github.com/Kaushl2208/GSoC2021
15, Improvise Python Honeypot ,Migrate database from mongodb to ElasticSearch to use grafana dashboard along with the python honeypot web interface. Make REST API's compatible with..., Mrigank Anand ," Mentor  Dhiren Devinder Serai, Ali Razmjoo Qalaei ", Organization  OWASP Foundation ,/archive/2021/projects/5093377393033216,https://mrigank-blog.vercel.app/blogs/final-evaluation-gsoc-2021
