pr_id,pr_title,pr_body,is_merged,pr_number,pr_url,pr_html_url,pr_state,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_labels_count,pr_assignees_count,pr_labels,pr_created_at,pr_closed_at,time_taken,time_delta,pr_review_comments,pr_commits,contributor,contributor_id,contributor_email,contributor_type,contributions,contributor_public_repos,contributor_private_repos,contributor_followings,contributor_followers
717931741,Added Inserting Ring Visualization and architectural changes,GSoC Final Pull Request.,True,85,https://api.github.com/repos/stevehoover/warp-v/pulls/85,https://github.com/stevehoover/warp-v/pull/85,closed,579,88,1,17,0,4,0,0,[],2021-08-23 15:17:21+00:00,2021-08-23 18:28:59+00:00,11498.0,3:11:38,"[{'comment_id': 694201965, 'comment_body': 'Not needed. I think I had made this simplifying change and you lost it??', 'comment_created': datetime.datetime(2021, 8, 23, 18, 16, 13, tzinfo=datetime.timezone.utc), 'commenter': 'stevehoover', 'type': 'User'}, {'comment_id': 694203611, 'comment_body': 'I think `$avail` is redundant with $accepted.', 'comment_created': datetime.datetime(2021, 8, 23, 18, 18, 33, tzinfo=datetime.timezone.utc), 'commenter': 'stevehoover', 'type': 'User'}, {'comment_id': 694205096, 'comment_body': '`arb2` means arb between two inputs. What does this macro do? Comments?', 'comment_created': datetime.datetime(2021, 8, 23, 18, 20, 52, tzinfo=datetime.timezone.utc), 'commenter': 'stevehoover', 'type': 'User'}, {'comment_id': 694209201, 'comment_body': 'BTW, you can now use:\r\n```\r\nm4_def(RINGVIZ_REF_TOP, -100)\r\n```', 'comment_created': datetime.datetime(2021, 8, 23, 18, 26, 41, tzinfo=datetime.timezone.utc), 'commenter': 'stevehoover', 'type': 'User'}]","[{'commit_sha': '248a613ce63ea8716640da312e5a29fd3080e078', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '013f88f08d5aa887851cd6904cf7d93ba70ab509', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '48b38b370adae5964add5c8276cbcbbff800c7c0', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'a7e5875906203610ef724931931f232592b411d7', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '59a333b47c5b8f0e094cb43d5b26fce7aec7678b', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '1b1be862bfbca2f05f74412131994b1f0070f7f6', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'c57ce41d8654a732adff364d0d10073f5a4a456a', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'bfa12d5fa798f73b01b9a78722a2ebc276cd57b1', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'f5c5f1e0077ea78844694f7db16d869b030af84d', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '0e3082db637dcf6eb2f16a2024ff0dfcc11e3c99', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '9d669578448ff5d40556b0eccb18b4330413de6f', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'd549a441d0014454a33e7db1c40aeab8fe5324a9', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'e43f11f290d43e5c00d39a67e79a72e0609d7ade', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'cbdf1b518f4913d4239b2af8075071ea0552c77f', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'eac4de54a08bc4afc48fc4fe85129ceed4081d85', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': 'eec782796667e18c26750e52cda2e3e47d230e03', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}, {'commit_sha': '76a2d462068e5dc73342f97fb2fb726da7247985', 'committer_username': 'vineetjain07', 'committer_name': 'Vineet Jain', 'committer_email': None, 'commit_date': datetime.datetime(2017, 10, 17, 15, 43, 39, tzinfo=datetime.timezone.utc)}]",Vineet Jain,32877048,,User,,25,,8,9


Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,contributors,commits,issues,branches,PRs_count,contributor pullrequests
123192307,warp-v,stevehoover/warp-v,TL-Verilog,54,222,26,15,913,16,29,15,"[{'id': 794085843, 'number': 92, 'closed': datetime.datetime(2021, 12, 3, 1, 31, 27, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 12, 2, 21, 29, 12, tzinfo=datetime.timezone.utc), 'time_taken': 14535.0, 'time_delta': '4:02:15', 'additions': 328, 'deletions': 296, 'state': 'closed'}, {'id': 721024682, 'number': 86, 'closed': datetime.datetime(2021, 8, 27, 12, 48, 53, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 27, 4, 45, 34, tzinfo=datetime.timezone.utc), 'time_taken': 28999.0, 'time_delta': '8:03:19', 'additions': 43, 'deletions': 34, 'state': 'closed'}, {'id': 717931741, 'number': 85, 'closed': datetime.datetime(2021, 8, 23, 18, 28, 59, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 8, 23, 15, 17, 21, tzinfo=datetime.timezone.utc), 'time_taken': 11498.0, 'time_delta': '3:11:38', 'additions': 579, 'deletions': 88, 'state': 'closed'}, {'id': 657550310, 'number': 68, 'closed': datetime.datetime(2021, 5, 30, 18, 28, 30, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 5, 29, 22, 59, 39, tzinfo=datetime.timezone.utc), 'time_taken': 70131.0, 'time_delta': '19:28:51', 'additions': 28, 'deletions': 15, 'state': 'closed'}, {'id': 650770715, 'number': 67, 'closed': datetime.datetime(2021, 5, 28, 20, 4, 56, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 5, 23, 11, 16, 21, tzinfo=datetime.timezone.utc), 'time_taken': 463715.0, 'time_delta': '5 days, 8:48:35', 'additions': 20, 'deletions': 11, 'state': 'closed'}, {'id': 628459436, 'number': 62, 'closed': datetime.datetime(2021, 5, 1, 21, 24, 44, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2021, 5, 1, 16, 29, 10, tzinfo=datetime.timezone.utc), 'time_taken': 17734.0, 'time_delta': '4:55:34', 'additions': 2, 'deletions': 2, 'state': 'closed'}, {'id': 473581610, 'number': 49, 'closed': datetime.datetime(2020, 10, 16, 13, 57, 20, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 8, 26, 0, 59, 3, tzinfo=datetime.timezone.utc), 'time_taken': 4453097.0, 'time_delta': '51 days, 12:58:17', 'additions': 338, 'deletions': 2875, 'state': 'closed'}, {'id': 468178189, 'number': 48, 'closed': datetime.datetime(2020, 8, 15, 21, 50, 32, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 8, 14, 20, 52, 20, tzinfo=datetime.timezone.utc), 'time_taken': 89892.0, 'time_delta': '1 day, 0:58:12', 'additions': 1, 'deletions': 1, 'state': 'closed'}, {'id': 447557776, 'number': 40, 'closed': datetime.datetime(2020, 8, 4, 15, 21, 35, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 7, 10, 17, 29, 42, tzinfo=datetime.timezone.utc), 'time_taken': 2152313.0, 'time_delta': '24 days, 21:51:53', 'additions': 6, 'deletions': 3, 'state': 'closed'}, {'id': 437304760, 'number': 33, 'closed': datetime.datetime(2020, 7, 10, 14, 37, 52, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 6, 19, 21, 36, 13, tzinfo=datetime.timezone.utc), 'time_taken': 1789299.0, 'time_delta': '20 days, 17:01:39', 'additions': 373, 'deletions': 199, 'state': 'closed'}, {'id': 435476300, 'number': 31, 'closed': datetime.datetime(2020, 6, 16, 23, 15, 15, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 6, 16, 21, 28, 33, tzinfo=datetime.timezone.utc), 'time_taken': 6402.0, 'time_delta': '1:46:42', 'additions': 3265, 'deletions': 145, 'state': 'closed'}, {'id': 425118328, 'number': 25, 'closed': datetime.datetime(2020, 6, 1, 15, 8, 52, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 5, 29, 13, 56, 16, tzinfo=datetime.timezone.utc), 'time_taken': 263556.0, 'time_delta': '3 days, 1:12:36', 'additions': 309, 'deletions': 64, 'state': 'closed'}, {'id': 424237444, 'number': 23, 'closed': datetime.datetime(2020, 5, 28, 4, 17, 42, tzinfo=datetime.timezone.utc), 'created': datetime.datetime(2020, 5, 28, 4, 17, 4, tzinfo=datetime.timezone.utc), 'time_taken': 38.0, 'time_delta': '0:00:38', 'additions': 13167, 'deletions': 0, 'state': 'closed'}]"
498452738,1st-CLaaS,stevehoover/1st-CLaaS,C,2,6,0,23,685,0,13,0,[]
