Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Bypass assembler when generating LTO object files ,Link Time Optimization (LTO) enables GCC to dump its internal representation (GIMPLE) to disk so that a single executable can be optimized as a..., Rishi Raj ," Mentor  Martin Jambor, Jan Hubicka ", Organization  GNU Compiler Collection (GCC) ,/archive/2023/projects/1CgxstnB,https://github.com/rsh-raj/gcc-gsoc-submission/tree/main
2, Extending E2E Automated Tests for the OpenMRS 3.0 RefApp ,"At present, there are already a few E2E tests running for the openmrs-esm-patient-management repository and more coverage is expected. The goal of...", Randila Premarathne ," Mentor  Piumal Rathnayake, Anjula Samarasinghe ", Organization  OpenMRS ,/archive/2023/projects/V8hfX6Nt,https://medium.com/@randilamenukapremarathne/gsoc-2023-extending-e2e-automated-tests-for-the-openmrs-3-0-refapp-7f283d733db2
3, Reducing Fossology's false positive copyrights ,This project’s goal is to improve the accuracy of Fossology’s copyright detection system using machine learning. This functionality was originally..., Abdelrahman Jamal ," Mentor  Gaurav Mishra, Anupam Ghosh, HastagAB, Kaushlendra ", Organization  FOSSology ,/archive/2023/projects/bAs5hkHh,https://github.com/Hero2323/GSoC-2023
4, Addition of regression GAM and kNN classification functionality in statistics package ,The project aims to enhance the Statistics package in the GNU Octave by adding Generalised Additive Models (GAMs) Regression and kNN classification..., Azmat Khan ," Mentor  nrjank, pr0m1th3as ", Organization  GNU Octave ,/archive/2023/projects/XDEr4S3N,https://azm999.hashnode.dev/gsoc23-final-report
5, [SUSOSP] Increasing the Reach of Open Source among High-Schoolers and Teenagers ,"Contributing to an open-source project offers novices the opportunity to join a community of practitioners, build a technical portfolio, gain...", Nandini Saagar , Mentor  Emily Lovell , Organization  UC OSPO ,/archive/2023/projects/URv3ovZT,https://gist.github.com/Nandinisaagar/2e97ec06204adbe70e66bc4d9e8d8f8f
6, Schema.org OpenAPI Catalog ,"This project is to create a catalog of the OpenAPI definitions for the various Schema.org types. Also, providing a robust set of starting OpenAPI...", Pragya Bhardwaj ," Mentor  Sai Alekhya Yerragunta, PascalH ", Organization  Postman ,/archive/2023/projects/IpxtHfOS,https://github.com/postman-open-technologies/schema-org-openapi-catalog
7, Optimize omegaUp.com for Mobile and Accounts for Children ,"omegaUp does not have a user-friendly interface for users who access the platform from their mobile devices, making it difficult for many students to...", Ingrid Margarita ," Mentor  Hugo Dueñas, Carlos Abel ", Organization  omegaUp ,/archive/2023/projects/aGgLLKX6,https://drive.google.com/drive/folders/1IX11Ob922nXam5M8YUjj4P6YVcYLDDlr?usp=drive_link
8, Expanding Support for GCP Resources with Modularized Crawler ,"GCP Scanner is a crucial tool for security engineers, providing insights into the access levels of various GCloud credentials. This project proposal...", Sudipto Baral ," Mentor  Maksim Shudrak, underhill, Guillaume ", Organization  GCP Scanner ,/archive/2023/projects/mt5Rm2H9,https://summerofcode.sudiptobaral.com/
9, Tutorial development with clang-repl ,This project aims to develop tutorials demostrating the current capabilities of clang-repl. It also aims to investigate and research the requirements..., Krishna Narayanan , Mentor  Vassil Vassilev , Organization  LLVM Compiler Infrastructure ,/archive/2023/projects/qxuEqL8W,https://github.com/Krishna-13-cyber/GSoC23-LLVM/blob/main/README.md
10, [PySAL - spopt Development] P-Median Model with Near-Far Cost Allocation: Guided by Tobler's Law ,"For now spopt has implemented several basic facility location models, providing the free open source for researcher, or organizations to use....", Rongbo Xu ," Mentor  Levi John Wolf, James Gaboardi, Serge Rey, Qunshan Zhao, Germano Barcelos dos Santos ", Organization  NumFOCUS ,/archive/2023/projects/05jDO3IG,https://github.com/rongboxu/P-Median-Model-with-Near-Far-Cost-Allocation
