Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Import and Store NNDC Deposition Data ,TARDIS has a new module that transports gamma rays created by nuclear decay. The NNDC stores nuclear decay data in a format that is difficult to read..., Shreyas Singh ," Mentor  Jack O'Brien, Andrew Fullard, Atharva Arya, afloers, Christian Vogl ", Organization  TARDIS RT Collaboration ,/archive/2023/projects/F7C111oc,https://sites.google.com/view/shreyas-gsoc2023-tardis/home
2, Improving Civic Technology to Achieve Equity Goals ,"This proposal is to assist the City of Boston in achieving in equity goals, either by helping implement a city chatbot powered by large...", Sebastian O. , Mentor  Maddie Webster , Organization  Mayor's Office of New Urban Mechanics ,/archive/2023/projects/j7CMjD81,https://github.com/sebastian-orozco/Google-Summer-of-Code-2023/tree/main
3, Move R Interface of Volesti to a New Repository ,"The main goal of this project is to create a dedicated repository for the R interface code of Volesti, a tool developed by GeomScale for volume...", Soumya Tarafder ," Mentor  Vissarion Fisikopoulos, Apostolos Chalkis ", Organization  GeomScale ,/archive/2023/projects/Ju6SPJP1,https://geomscale.github.io/Progress-of-Rvolesti-GSoC23/
4," Dashboard Web Components (React, Vue etc) for Workflow and Task Runs ",The objective of this project is to create adaptable web components using UI frameworks like Microsoft's Fast. This will involve expanding the..., Javed Habib ," Mentor  Salihu, Anurag Gupta, Alex Kanitz, Liam Beckman, Venkat Malladi, patmagee ", Organization  Global Alliance for Genomics and Health ,/archive/2023/projects/UEuLvYby,https://gist.github.com/JaeAeich/56463bffaae8d20e98a3e65d10a3abe0
5, Keploy Typescript/Javascript SDK ,My goal is to enhance the Keploy Typescript SDK's versatility and accommodate a wider range of developers and use cases. I aim to make it more..., Hermione Dadheech ," Mentor  NehaGupta, Shubham Jain, re-Tick, Pranshu, charanK, Gourav Kumar, Sarthak Shyngle ", Organization  Keploy ,/archive/2023/projects/ESka3AAp,https://gist.github.com/Hermione2408/5ab360ca77c28ef6a38ad5a45316b755
6," Extracting Language and Runtime-Specific Strings in Go, Rust, and Beyond ","The FLOSS: Language Specific Strings project aims to enhance the FLARE tool called FLOSS, which is used to deobfuscate protected strings found in...", Arnav Kharbanda ," Mentor  Willi Ballenthin, Moritz, rxrd ", Organization  FLARE ,/archive/2023/projects/pANVOvV7,https://gist.github.com/Arker123/7e513d38cc13e57a43cb95ee6e4a3421
7, KUMAR_HARSH-AGORA_BLOCKCHAIN ,"1)Anonymous Voting : Problem: Decentralized voting systems, while offering increased security, may still require voters to reveal their identity and...", Kumar Harsh ," Mentor  Bruno, Kirti Lodha ", Organization  AOSSIE ,/archive/2023/projects/WPHbWN7Q,https://gitlab.com/aossie/agora-blockchain/-/blob/gsoc-2023/docs/GSOC_2023/Kumar_harsh.md?ref_type=heads
8, Improve the development experience ,This project is dedicated to streamlining and enhancing the CircuitVerse development experience. Our primary objective is to simplify the setup of..., Tanmoy Sarkar ," Mentor  Vedant Jain, SGarg ", Organization  CircuitVerse.org ,/archive/2023/projects/HREzTBkH,https://blog.circuitverse.org/posts/tanmoy_sarkar_final_report/
9, [PyBaMM] - Documentation - Agriya Khetarpal ,"This project aims to enhance the documentation infrastructure for PyBaMM and consolidate all of it in one place, which includes but will not be...", Agriya Khetarpal ," Mentor  Saransh Chopra, Valentin Sulzer ", Organization  NumFOCUS ,/archive/2023/projects/DdcerdTx,https://pybamm.org/gsoc/2023/agriya-khetarpal/
10, Integrate Notion via RC App ,"Integrate Notion Via RC App prioritizes teamwork by enhancing collaboration for workspace users. Imagine having the power of two essential platforms,...", Nabhag Motivaras ," Mentor  Samad Yar Khan, Bárbara Zanella ", Organization  rocket.chat ,/archive/2023/projects/9v76k7Q8,https://github.com/Nabhag8848/Google-Summer-of-Code
11, PixelationFilter ,"The idea of the project is to create a Tool that pixelates the photo/layer. The user would have the possibility to change the number of colors, the...", Tim Celec ," Mentor  Thorsten  Bandel, Julia Herold ", Organization  International Catrobat Association ,/archive/2023/projects/h9pclpzH,https://gist.github.com/exland/40ac1e469f9785c8f69d09a9be733828
12, Idea 1 : Improving Democracy’s Library ,"Problem to Solve : Build a system which performs the following: Enables full-text search of documents; filtered by agency, date, views Recommends...", Krish Shewani , Mentor  Dr Vangelis Banos , Organization  Internet Archive ,/archive/2023/projects/MMFObnCX,https://github.com/krish-910/GSoC_IA
13, Exploring the underlying symmetries in particle physics with equivariant neural networks ,Symmetry is one of the most beautiful and interesting phenomena in physics. Particle Physics is dominated by Lorentz symmetry. It is seen that..., Diptarko Choudhury ," Mentor  ML4SCI, Bhim Bam, Colin Crovella, Ruchi Chudasama ", Organization  Machine Learning for Science (ML4SCI) ,/archive/2023/projects/OZd31ChO,https://medium.com/@cdiptarko/invariant-nets-and-particle-showers-b6ac21275d86
14, GitHub Actions - Optimizing CI Pipeline and Utilizing the Whole Docker Stack for Testing ,"Worked on optimising the CI pipeline, After reconfiguration and optimisation of the pipeline, I was successfully able to reduce the time taken for...", Rohan Sasne , Mentor  Rob Kooper , Organization  PEcAn Project ,/archive/2023/projects/etmBQV5Q,https://medium.com/@rohansasne30/gsoc-23-report-github-actions-pecan-project-b5a7feace163
15, Group Comparison - Generic Assay Categorical and Binary data implementation ,The objective of this project is to improve the functionality of cBioPortal by introducing support for categorical and binary data analysis and..., JiahangLi ," Mentor  Gaofei, Ryan Fu ", Organization  cBioPortal for Cancer Genomics ,/archive/2023/projects/QiwswzZ8,https://docs.google.com/document/d/1U7K3VgYwo3zz9K7cDyGq99xcFq7TUBJJRDOamRQq3oE/edit?usp=sharing
