Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Deep Scope Analysis ,"I want to contribute to Webpack project by implementing one of the proposed ideas, namely “Deep Scope Analysis”. The program will traverse the ASTs...", Vincent Chan , Mentor  Tobias Koppers , Organization  webpack ,/archive/2018/projects/5363095866179584,https://medium.com/@okcdz/better-tree-shaking-with-deep-scope-analysis-a0b788c0ce77
2," Adding and Improving System Features, Enhancing Organizer Ease-of-Use and Integrating with Social Media and Other Communication Tools ",This proposal aims to improve ease of app use for organizers and addition of more system features as well as solid integration with social media and..., Saurabh Chaturvedi ," Mentor  Aayush Arora, SaptakS, poush, Abhinav, Dilpreet S., Nguyễn Hồng Quân, Afroz, Mario Behling, Niranjan Rajendran ", Organization  FOSSASIA ,/archive/2018/projects/5368760793825280,https://gist.github.com/schedutron/901fff8ac5d0896669b360856b875677
3, Integration of ANTLRv4 into coala core ,This project aims to implement a library that integrates with the existing coala code and allows writing native bears for coala that can leverage the..., Viresh Gupta ," Mentor  Dong-hee Na, Udayan Tandon ", Organization  coala ,/archive/2018/projects/5370686482677760,https://projects.coala.io/GSoC/2018/StatusReport/virresh
4, Porting Essential ERFA Functions to Julia ,The JuliaAstro organization equips astronomers with tools developed in Julia language that they can include in their daily workflow and do impactful..., Prakhar Srivastava ," Mentor  Mosè Giordano, Helge Eichhorn ", Organization  OpenAstronomy ,/archive/2018/projects/5373821473259520,http://prsr.me/GSoC-Wrap-Up/
5, PGP Clean Room Live CD ,"Building a TUI application for the PGP Clean Room Live CD to walk a user through safely creating and storing a PGP key offline. 
Will also support...", Jacob Adams ," Mentor  Thomas Levine, Daniele Nicolodi ", Organization  Debian Project ,/archive/2018/projects/5374838306766848,https://tookmund.com/2018/08/pgp-clean-room
6, Email Notification Overhaul ,"The aim of this proposal is to enhance user experience. The features which are integrated in this proposal are:-
1) Reply to comments by email - A...", Vidit Chitkara ," Mentor  Amanda Snow, jywarren, Stevie Lewis ", Organization  Public Lab ,/archive/2018/projects/5375801587400704,https://gist.github.com/ViditChitkara/5f3f905ba1f38f0bf4b0bbe5f9383485
7, Chapter 5 ,I want to improve and extend the work I have previously done on chapter 5., Michael Kawano , Mentor  Sam Goto , Organization  aimacode ,/archive/2018/projects/5381580197462016,https://github.com/aimacode/aima-javascript/wiki/Reflection-on-GSoC-2018
8, Portage powered Android ,"Current Android system upgrade procedures usually fall into the following two categories, with inconvenience respectively:

complete upgrades, which...", Pengcheng Xu ," Mentor  Benda Xu, Andrey Savchenko ", Organization  Gentoo Foundation ,/archive/2018/projects/5384358705758208,https://jsteward.moe/gsoc-2018-final-report.html
9, Improve the LibreCores.org in terms of discoverability ,LibreCores.org lists free and open source “IP Cores” on the website for the community to view and use. All listed projects are backed by a git..., Sandip Kumar Bhuyan , Mentor  Philipp Wagner , Organization  Free and Open Source Silicon Foundation ,/archive/2018/projects/5385508481925120,https://www.sandipbhuyan.com/blog-content/13
10, Rishabh Shukla's proposal ,The project is based on improving the existing Carbon Footprint API. Both front end as well as backend functionalities., rishz ," Mentor  Vaibhav Sharma, Sai Sankar Gochhayat, Bruno Woltzenlogel Paleo ", Organization  AOSSIE - Australian Open Source Software Innovation and Education ,/archive/2018/projects/5539053294321664,https://gist.github.com/rishz/d2e7ed3af845ff019dc92464153e4022
11, Oblivious Sandboxing with Capsicum ,"Security is of paramount importance. Capsicum sticks to it principles, but is finite, this project aims on making it more widely applicable....", Shubh Gupta , Mentor  Jonathan Anderson , Organization  FreeBSD ,/archive/2018/projects/5544577024917504,https://github.com/ShubhGupta2125/capsh
12, Optimization of Mind The Word ,"I have selected the following ideas to implement in the extension :
1. Local Storage of most common words :  Adding local storage for translations of...", Chirag Vashist ," Mentor  Nakul Havelia, Bruno Woltzenlogel Paleo, Chirag Arora ", Organization  AOSSIE - Australian Open Source Software Innovation and Education ,/archive/2018/projects/5544927601623040,https://medium.com/@chiragvashist/gsoc-2018-mind-the-word-583cfa83abbb
13, Integrate functionality from bun ,"Having gone through bun and playing around with it, I found it to be a great tool for quick editing of Gemfiles. I would be integrating it into...", Agrim Mittal , Mentor  segiddins , Organization  Ruby ,/archive/2018/projects/5547552766164992,https://gist.github.com/agrim123/cfc1e1aadbe8b46f6e2b6e9b090ed2f3
14, A simulation execution manager for ns-3 ,"The envisioned solution consists in the creation of a python library that can
   start, manage and collect results from multiple simulation runs. In...", Davide Magrin , Mentor  Dizhi Zhou , Organization  The ns-3 Network Simulator Project ,/archive/2018/projects/5554849244512256,http://magr.in/sem/gsoc
15, Local Phone App ,The project consists of constructing an android app which allows a quick exchange of contact data through a QR-code and thus serverless p2p voice- as..., Daniel Dakhno , Mentor  Moritz Warning , Organization  freifunk ,/archive/2018/projects/5559204609785856,https://github.com/dakhnod/Meshenger/releases/tag/v1.0.0
16, Kiwix Android App UX Improvement ,"Create a new initial landing page with suggested ZIM files that a user might want to download and
improve the download management UI to flow more...", Abdul Wadood ," Mentor  Isaac Hutt, Rashiq ", Organization  Kiwix ,/archive/2018/projects/5561430342369280,https://github.com/kiwix/kiwix-android/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Aabdulwd+created%3A2018-04-23..2018-08-14
17, Revamp Print Dialog ,"The idea is make Print Dialog clean, simple and straightforward for the user.
Print Dialog content will only feature essential printing options. All...", Daniel Silva ," Mentor  Thorsten Behrens, Bubli ", Organization  LibreOffice ,/archive/2018/projects/5565537606172672,https://gist.github.com/danielfaleiro/992aa39557f8475b8f4daa3af4bb3052
