Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, OAuth & Upgrade to Bootstrap 4 ,"Authorising users through Google, Facebook, Github and Twitter through Omniauth gem and 
upgrading the current bootstrap version 3 to version 4.", Sidharth Bansal ," Mentor  Mayank Kashyap, Ujjwal Sharma, jywarren, Emmanuel Hayford ", Organization  Public Lab ,/archive/2018/projects/5052605432594432,https://publiclab.org/notes/bansal_sidharth2996/08-07-2018/gsoc-multi-party-auth-system
2, GSOC2018_Huang_RTEMS Release Notes Generator ,RTEMS Release Notes Generator, Danxue Huang ," Mentor  Joel Sherrill, Chris Johns ", Organization  RTEMS Project ,/archive/2018/projects/5053438924685312,https://danxuehuang.blogspot.com/2018/08/summary-of-gsoc-2018.html
3, Improve Override Management ,"This project adds the feature to Joomla which check for upgrades, if the template file is changed where an override exists, it notifies the user that...", Anurag Kumar ," Mentor  Astrid Guenther, zero24, Allon Moritz ", Organization  Joomla! ,/archive/2018/projects/5055232610402304,https://github.com/joomla-projects/gsoc18_override_management/pulls?q=is%3Apr+author%3AAnu1601CS+is%3Aclosed
4," Containerization And Deployment Of Apache Fineract CN Using Docker, Docker Compose And Docker Swarm ",Apache Fineract CN is an  Application Framework for Digital Financial Services. It is a system to support nationwide financial transactions and to..., Courage Angeh ," Mentor  Viswa Ramamoorthy, Victor Romero ", Organization  The Mifos Initiative ,/archive/2018/projects/5060024451727360,https://gist.github.com/Anh3h/760fe3313e5a7cad753899dbfe067679
5, Implement Ali cloud Provider support and Rackspace Provider support for GoCloud ,"Project Description
GoCloud is a golang library which hides differences between different cloud providers' APIs and allows you to manage different...", OddCN ," Mentor  Ind, Rumesh Hapuarachchi, Charitha Elvitigala ", Organization  Sustainable Computing Research Group (SCoRe) ,/archive/2018/projects/5066855060340736,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/OddCN_GoCloud_AliCloud_Vulter.md
6, Gazebo-RoboComp Integration ,Simulation plays an important role in robotics. Through simulation we can save valuable time and resources to test our algorithms. Often robotics..., Akash Kumar Singh ," Mentor  Marco A Gutiérrez, Ramon Cintas ", Organization  RoboComp ,/archive/2018/projects/5069507739516928,https://gist.github.com/ksakash/ea6c21487df14409a860787ff7a7f66d
7, Mobile Wallet 2.0 ,"Mobile Wallet 2.0 is about giving financial independence to their client, by providing financial services to all with transparency and reducing...", Ankur Sharma ," Mentor  Ishan Khanna, Naman Dwivedi, Puneet Kohli ", Organization  The Mifos Initiative ,/archive/2018/projects/5071215056125952,https://gist.github.com/ankurs287/d9ef88cedcebe678f09fd555b17c7546
8, Team management module for MapCampaigner ,"MapCampaigner is a field data collection organizing application. Organizers can define an area, define the features to collect, and recruit...", Surya Saini ," Mentor  Nate Smith, Christian Christelis ", Organization  Digital Impact Alliance ,/archive/2018/projects/5073218591260672,https://docs.google.com/document/d/124th7TWdvHZFsy6rwHn-e6R35nh9Clun4kFIyAKemTI/edit?usp=sharing
9, FFserver replacement ,The goal of this project is to write a replacement for the now removed ffserver component. It should meet the criteria proposed for the work on..., klaxa , Mentor  atomnuker , Organization  FFmpeg ,/archive/2018/projects/5074919532527616,https://github.com/klaxa/ffserver
10," Multimodal Egocentric Perception (with video, audio, eyetracking data) ","Hey, I have been in constant touch with Mehul regarding my project on Multi-modal Egocentric Perception. I have already had a skype meet with him...", Sumit Vohra ," Mentor  Mehul Bhatt, skrish13, Jakob Suchan ", Organization  Red Hen Lab ,/archive/2018/projects/5075236890345472,https://github.com/saisumit/gsoc2018-redhen-saisumit
11, Implementation of Balance Bot with Ardupilot ,Extension of Ardupilot codebase to support Self Balancing Robots, Ebin Philip ," Mentor  Peter Barker, Andrew Tridgell ", Organization  ArduPilot ,/archive/2018/projects/5076116352008192,https://discuss.ardupilot.org/t/gsoc-2018-balance-bot-part-ii/31934
12, Pseudo-C Backend for Radeco ,Radeco currently can parse Radare2’s ESIL into a graph-based SSA representation. This project would complete the decompiler by generating a C-like..., HMPerson1 ," Mentor  chinmay_dd, sushant94 ", Organization  radare ,/archive/2018/projects/5076653491355648,https://radare.today/posts/gsoc_2018_radeco_cfs/
13, Extracting data from PDF invoices and bills for financial accounting ,"This project aims to develop a complete workflow for discovering bills (in a directory, mail folder or with a browser plugin to extract them from web...", Harshit Joshi ," Mentor  Thomas Levine, Manuel Riel, Pieter Willem Moerenhout ", Organization  Debian Project ,/archive/2018/projects/5077288206991360,http://blog.harshitjoshi.in/2018/08/gsoc-2018-final-report.html
14, Software Components and IP management ,"CLIO -- a system for maintaining software component information.
CLIO is also a backronym for the system of maintaining Components, Licenses, IP and...", Gopalakrishnan V ," Mentor  Alexios Zavras (zvr), Georgia Kapitsaki ", Organization  GFOSS - Open Technologies Alliance ,/archive/2018/projects/5079827203751936,https://gist.github.com/gopuvenkat/d8433e5ed78a67e0b114db69ce675235
15, Integration of Nextcloud/ownCloud as Storage and User File Provider ,Enabling Rocket.Chat server administrator to use a NextCloud/ownCloud instance for storage of upload. Integrate NextCloud/ownCloud to Rocket.Chat and..., Semih Serhat Karakaya ," Mentor  John Szaszvari, Guilherme Gazzo, bjoern ", Organization  Rocket.Chat ,/archive/2018/projects/5081620889468928,https://gist.github.com/karakayasemi/48e485561594c0bf6658bc2904d19da7
16, ScummVM GSoC Application: Improve the Stark Engine ,Improve the Stark engine on ResidualVM to make the game menus and character’s shadows working on the game The Longest Journey., Douglas Liu , Mentor  Bastien Bouclet , Organization  ScummVM ,/archive/2018/projects/5081710949564416,http://douglasingsoc.blogspot.com/2018/08/residualvm-summary.html
17, Implementing NWP - an address resolution protocol for XIA. ,"The aim of this project is to implement a userspace version of the Neighbourhood Watch Protocol (NWP), which maps Autonomous Domain (AD) XIDs to...", Vibhav Pant , Mentor  Pranav Goswami , Organization  Boston University / XIA ,/archive/2018/projects/5087285817114624,https://gist.github.com/vibhavp/9c55936b500ed0eccf237bdc0cc19d76
18, Expanding the receiver to BeiDou B1I ,This project will add processing capability of the BeiDou B1I signals into the GNSS-SDR platform. The addition of BeiDou B1I signals will increase..., Sara Hrbek ," Mentor  Damian Miralles, Luis Esteve-Elfau ", Organization  GNSS-SDR ,/archive/2018/projects/5089211505967104,https://gist.github.com/sarahrbek/42ada442757c7d44f5a0e30c57a4a04a
19, New Interactions project. ,This project aims at implementing two new interactions- Number with Units and Drag and Drop Sorting interactions. It will create a new learner..., Vibhor Agarwal , Mentor  Prasanna Patil , Organization  Oppia Foundation ,/archive/2018/projects/5090091101847552,https://medium.com/@agarwalvibhor84/google-summer-of-code-18-with-oppia-7298d0880d08
20, Spectral Surface Reconstruction ,This project aims to build a package for reconstruction watertight surfaces from un-oriented point sets. The first step is to estimate un-oriented..., Tong ZHAO ," Mentor  Simon Giraudot, Pierre Alliez ", Organization  CGAL Project ,/archive/2018/projects/5092316834430976,https://github.com/CGAL/cgal/issues/3279
21, Questions+ ,"My project concentrates on adding more features to existing question types. 
These features are:

Add weight feature for MCQ questions
Add weight...", Sukanta Roy ," Mentor  Pu Xiao, Quoc Bao Nguyen ", Organization  TEAMMATES @ National University of Singapore ,/archive/2018/projects/5092346496548864,https://github.com/TEAMMATES/gsoc-2018/blob/master/Sukanta_Roy/progress.md
22, Kea Monitoring Dashboard ,The primary objective of this project is to develop a GUI dashboard for the Kea DHCP server software to function as a remote monitoring and..., Jerin John ," Mentor  Cathy Almond, Tomek Mrugalski, Victoria Risk ", Organization  Internet Systems Consortium ,/archive/2018/projects/5093363330056192,https://github.com/isc-projects/kea-anterius
23, Azure Support with new Architecture implementation ,"Project
Rewrite core node cloud architecture and add Azure Provider Support.
Previous contributions
Fixed issues and added new features to NodeCloud,...", Rajendra Kadam ," Mentor  Rumesh Hapuarachchi, Rajika Abeyrathne ", Organization  Sustainable Computing Research Group (SCoRe) ,/archive/2018/projects/5094326610690048,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Rajendra_Kadam-NodeCloud_NewArchitecture_Azure.md
24, Improvement of CO2 emission API ,"This project aims to improve the existing RESTful API, that is to improve the functionalities of the existing API of Carbon Emissions. This includes...", Raghavendra Vedula ," Mentor  Vaibhav Sharma, Sai Sankar Gochhayat, Bruno Woltzenlogel Paleo ", Organization  AOSSIE - Australian Open Source Software Innovation and Education ,/archive/2018/projects/5096603815772160,https://gitlab.com/vedularaghu/CarbonFootprint-API/blob/projectreport/docs/GSoC/2018/RaghavendraVedula.md
25, Online Baking App 2.0 (UPDATE) ,"Currently, the Mifos-X platform is bank staff facing. Self Service Web Application enables end-user Customers to log in to view/transact on the...", Ankit Raj Ojha , Mentor  Raunak Sett , Organization  The Mifos Initiative ,/archive/2018/projects/5098183625539584,https://gist.github.com/ankit01ojha/fe46be98bf69883c37e4497ca4f1e076
26, InterMine Data Browser Tool ,"The existing query builder in InterMine requires some experience to obtain statistical data about the different mine categories, which can become...", Adrián Rodríguez Bazaga ," Mentor  Yo Yehudi, Rachel Lyne ", Organization  InterMine ,/archive/2018/projects/5100105220751360,https://github.com/AdrianBZG/InterMine-Data-Browser-Tool
27, Improve automatic import of events with enhancement of event analytics and addition of machine learning capabilities for Big data services and search in Open Event Server ,"Improve the feature of automatic import of events
Implement a system for event analytics
Implement machine learning capabilities for Big Data...", Bhavesh Anand ," Mentor  Nguyễn Hồng Quân, SaptakS, poush, Abhinav, Dilpreet S., Aayush Arora, Afroz, Mario Behling, Niranjan Rajendran ", Organization  FOSSASIA ,/archive/2018/projects/5100511363596288,https://gist.github.com/bhaveshAn/10c69bed23345fee8d81eaaffa727110
28, Add a License XML Editor to the Online Tools ,"All the licenses of the SPDX License List are stored in the license-list-XML repository in XML format. So, creating or editing an XML license is a...", Tushar Mittal ," Mentor  Rohit Lodha, Gary O'Neall ", Organization  SPDX ,/archive/2018/projects/5100791207559168,"https://github.com/spdx/spdx-online-tools/wiki/Online-XML-Editor-for-SPDX-Licenses,-Google-Summer-of-Code-2018"
29, A calendar database of social events and conferences ,This project aims to deliver open database for community which includes events  across the world from many different sources., Doğukan ÇELİK , Mentor  Balram Pariyarath , Organization  Debian Project ,/archive/2018/projects/5101580542017536,https://web.itu.edu.tr/celikd/2018/08/14/gsoc-2018-final-report/
30, Modular YAMPL ,"Modular YAMPL
The project fundamentally consists in developing a flexible plugin system that allows YAMPL to selectively load essential components at...", Ayoub Chouak ," Mentor  Vakhtang Tsulaia, Peter van Gemmeren ", Organization  CERN-HSF ,/archive/2018/projects/5101807772631040,http://chouak.me/2018-08-04-gsoc18-third-phase-closes/
31, Digital Filter Block Implementations in MyHDL and PyFDA Integration ,Design and implementation of digital filters is essential for electronics engineers. Digital filter design in hardware usually is a two stage..., Sriyash Caculo ," Mentor  Christopher Felton, Christian Münker ", Organization  Free and Open Source Silicon Foundation ,/archive/2018/projects/5102733606518784,https://www.dsprelated.com/showarticle/1194.php
32," Government Gazette text mining, cross linking, and codification Project - 3gm ","Government Gazette text mining, cross linking, and codification Project - 3gm
About the project
Welcome to Government Gazette text mining, cross...", Marios Papachristou ," Mentor  Alexios Zavras (zvr), Diomidis Spinellis, Sarantos Kapidakis ", Organization  GFOSS - Open Technologies Alliance ,/archive/2018/projects/5104033505214464,https://github.com/eellak/gsoc2018-3gm
33," Enhancing the Haskell Image Processing Library with State of the Art Algorithms : Project Proposal GSoC, 2018 ",The project proposed here aims to implement different classes of Image processing algorithms using Haskell and incorporate the same to the existing..., Khilan Ravani , Mentor  Alp Mestanogullari , Organization  Haskell.org ,/archive/2018/projects/5107844282056704,https://medium.com/@khilanravani/image-processing-gsoc18-with-haskell-84177cec618
34, Providing Public Accessibility for SegAnnDB ,This project will expand the public accessibility of SegAnnDB as well as work on providing integrations with the UCSC Genome Browser and Galaxy., Alan Williams , Mentor  Toby Dylan Hocking , Organization  Canadian Centre for Computational Genomics ,/archive/2018/projects/5108068090118144,https://medium.com/alans-gsoc-blog/work-product-a1080d175160
35," Incorporating FITS Region, CRTF I/O and improving Regions. ",Astropy's regions package is being developed to handle description and manipulation of astronomical regions on sky and pixel coordinates.The current..., Sushobhana Patra ," Mentor  Adam Ginsburg, Miguel de Val-Borro ", Organization  OpenAstronomy ,/archive/2018/projects/5108140769017856,https://medium.com/@sushobhanapatra/gsoc-final-report-dd9a3dc0d1d7
36, Interactive 3D visualizations of human brain activity in the Jupyter Notebook using ipyvolume ,The aim of this project is to improve data visualization in MNE when working in the Jupyter Notebook. This will be achieved by implementing a package..., Oleh Kozynets ," Mentor  Jean-Rémi King, choldgraf, Eric Larson ", Organization  Python Software Foundation ,/archive/2018/projects/5108955806171136,https://blogs.python-gsoc.org/oleh-kozynets/2018/08/13/gsoc-2018-summary-interactive-3d-visualizations-of-human-brain-activity-in-jupyter-notebook-using-ipyvolume/#more-27
37, Synchronize R API with the Python Data Retriever API and improve usability of R package ,"Augment R API for Data Retriever with a versatile install function, robust Python detection and visualization widgets.", Pranita Sharma ," Mentor  Henry Senyondo, Ethan White ", Organization  NumFOCUS ,/archive/2018/projects/5109380672389120,https://github.com/ropensci/rdataretriever/commits?author=pranita-s
38, Servo: Prototype ways of splitting up the script crate ,The aim of this project is to investigate and propose a plan for separation of Servo script crate. Script crate lays in the core of the Servo and..., Peter Hrvola , Mentor  Josh Bowman-Matthews , Organization  Mozilla ,/archive/2018/projects/5111490306637824,https://blog.servo.org/2018/08/09/gsoc-generic-servo/
39, Web Frameworks Library for MRPT ,"Robots are slowly becoming a part of the internet of things, and easy control and universal access will be a step in future of robotics. MRPT’s Web...", Rachit Tibrewal ," Mentor  Jose Luis Blanco Claraco, Hunter Laux ", Organization  Mobile Robot Programming Toolkit (MRPT) ,/archive/2018/projects/5111807261802496,https://rachit173.github.io/gsoc2018/
40, Volunteer Management System(VMS) ,"The Volunteer Management System (VMS) is a portal useful for volunteer coordinators and volunteers in tracking hours, and reporting.", Anjali  Dhanuka ," Mentor  May, Abhishek Arya, nida, Kamakshi Suri ", Organization  Systers Community ,/archive/2018/projects/5112991330598912,https://gist.github.com/anjali-dhanuka/76563d3c9b953b2e754a5a03ddc300e7
41, 2.3 Monitor Sensors signal in 2D and 3D ,The project is about refactoring the current dual brain activity visualiser's 2D plots and adding new visual components to its 3D part to display..., Xiangxiu Meng ," Mentor  Paula Popa, Lia ", Organization  INCF ,/archive/2018/projects/5113503371231232,https://gist.github.com/kimonoki/11bf99839b6bea45c6d5059e77ead777
42, MacOS 10.13 signed app ,"A proposal for MacOS signed applications with basically three agendas:

To write a script that installs all the third party automatically, in short...", Divyanshu Kumar ," Mentor  paro, Dhruv Khattar ", Organization  Scilab ,/archive/2018/projects/5113954611232768,https://dvkcool.github.io/gsoc-2018/blog/FinalProjectReport.html
43, Discussion Forum ,"Submitty has a student-faculty portal named ""Discussion Forum"". It can be used for asking queries, announcements, notes sharing, etc.
I would like to...", Gagan Kumar ," Mentor  Barbara Cutler, Master_Odin, Andrew Aikens ", Organization  Submitty ,/archive/2018/projects/5114290021335040,http://submitty.org/developer/GSOC2018_GaganKumar
44, Newtonian Physics Sandbox ,"Developing a tool for modeling Newtonian physics processes based on the LibGeoDecomp
library and using HPX for parallel execution. Tool should be...", Evgeny Dedov , Mentor  Andreas Schäfer , Organization  STE||AR Group ,/archive/2018/projects/5115175254360064,https://github.com/V3RGANz/Newtonian-Physics-Sandbox
45, Content Oriented Printer AutoSelection ,"To print a document, one first needs to select a printer and then adjust its settings to fit their requirement. This project aims at enhancing user...", Deepak Patankar , Mentor  Till Kamppeter , Organization  The Linux Foundation ,/archive/2018/projects/5115857952833536,https://github.com/deepak0405/GSoC2018_documentation/blob/master/README.md
46, GSoC 2018 Android SDK tools in debian ,"finish packaging all of the core development tools (lint, SDK Manager, android update project utility, etc.)
update android-tools and relevant...", Saif Abdul Cassim ," Mentor  殷啟聰 | Kai-Chung Yan, cdesai, Hans-Christoph Steiner ", Organization  Debian Project ,/archive/2018/projects/5117027391897600,https://salsa.debian.org/snippets/115
47, Complex Number support in FEniCS ,"In many fields of science and engineering (such as electrodynamics, acoustics, and quantum mechanics), the partial differential equations (PDEs) can...", Igor Baratta ," Mentor  Michal Habera, Chris Richardson, Jack S. Hale, Jan Blechta ", Organization  NumFOCUS ,/archive/2018/projects/5117785856278528,https://gist.github.com/IgorBaratta/c7ca5252834f2c70efe0d233a3acecb4
48, Complete support for OpenShift and Kubernetes as a backend in conu ,Complete support for OpenShift and Kubernetes as a backend in conu, Radoslav Pitoňák ," Mentor  Jiri Popelka, Dominika Hoďovská ", Organization  Fedora Project ,/archive/2018/projects/5118889193111552,https://gist.github.com/rpitonak/3c6d068587db56fba0f36eaa33a0d946
49, Password Keeper Service Proposal ,"The project entails the specification, design, implementation and documentation of a Password Keeper service that is to be integrated to the existing...", Victor De Gouveia ," Mentor  Kali Kaneko, meskio ", Organization  LEAP Encryption Access Project ,/archive/2018/projects/5119324326985728,https://diffya.github.io/GSoC2018/2018/08/08/GSoC-2018-Project-Submission.html
