Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, p5 for 50+ teaching ,"Reaching out to 50 and more p5 educators around the world, “p5 for 50+ teaching” aims to contribute in documenting, showcasing, and sharing teaching...", Inhwa Yeom , Mentor  Qianqian Ye , Organization  Processing Foundation ,/archive/2020/projects/6330401192148992,https://github.com/processing/p5.js/blob/main/contributor_docs/project_wrapups/inhwayeom_gsoc_2020.md
2, Adding new vulnerability modules ,This project I will work on during the GSOC consists on building many new vulnerability modules for web application pen-testing along with performing..., Am4n Gupta ," Mentor  securestep9, Ali Razmjoo Qalaei ", Organization  OWASP Foundation ,/archive/2020/projects/6332659136987136,https://medium.com/@amangupta566/google-summer-of-code-final-submission-4b5987caf5f9
3, Storyboard feature for Krita ,This project would implement a storyboard feature for Krita.  A storyboard is a graphic organizer that consists of illustrations and comments..., Saurabh Kumar(confifu) ," Mentor  tiar, Boudewijn Rempt, Scott Petrovic ", Organization  KDE Community ,/archive/2020/projects/6334013293199360,https://community.kde.org/GSoC/2020/StatusReports/SaurabhKumar
4," Repeats, Rests, and Other Counting-Related Symbols ","There are a variety of standard notations, which can be grouped under the loose rubric of “counting-related symbols,” that current versions of...", Isaac Weiss , Mentor  Marc Sabatella , Organization  MuseScore ,/archive/2020/projects/6334421281538048,https://musescore.org/en/node/309770
5, Frontend testing of controllers and directives ,Increase unit tests coverage of AngularJS and Angular 2+ frontend controllers and directives to 100%., Mariana Zangrossi , Mentor  Nithesh Hariharan , Organization  Oppia Foundation ,/archive/2020/projects/6336817336418304,https://medium.com/@mari.zangue/my-journey-through-gsoc20-with-oppia-9eb6b27e7a02
6, AV1 statistics extraction with dav1d ,Currently development of rav1e and other AV1 encoders use open source AV1 analysis tools to extract metadata which is produced at decode time. This..., Tompsci ," Mentor  JB Kempf, Nathan Egge ", Organization  VideoLAN ,/archive/2020/projects/6338133240578048,https://sav1ngbandwidth.blogspot.com/2020/08/gsoc-code-submission.html
7, DETECT KERNEL INFORMATION DISCLOSURE BY BOCHSPWN-RELOADED ,"The project aims to detect information disclosure in the kernel by integrating bochspwn-reloaded into ReactOS infrastructure. In addition, the...", Khanh Nguyen Trung ," Mentor  Victor Perevertkin, Colin Finck ", Organization  ReactOS ,/archive/2020/projects/6340607376621568,https://github.com/reactos/bochspwn-reloaded
8," Extending the parallel test runner to Windows and macOS, and adding Oracle support ","This project expands Django's parallel test runner to work on Windows and macOS by running the parallel test runner using spawn, and also adds Oracle...", Ahmad A. Hussein ," Mentor  Adam Johnson, Mariusz Felisiak, Thomas Forbes, David Smith ", Organization  Django Software Foundation ,/archive/2020/projects/6346374846611456,https://gist.github.com/lothemar/e4751293c9a940b2f2983608bd2c3643
9, Web application for trait-to-ontology mapping ,Mapping free text trait names to ontologies so that they can be processed is an important task that is not yet standardized. The goal of this project..., Giorgos Apostolopoulos ," Mentor  Timothe Cezard, Kirill Tsukanov ", Organization  Global Alliance for Genomics and Health ,/archive/2020/projects/6346834307448832,https://gist.github.com/joj0s/c5b23d99ee5fbe2e36fdc6bec53f7016
10, A Neural QA model for DBpedia: Compositionality ,"In order to make DBpedia and its humongous linked data available to a larger user base in their natural languages (only English for the moment), a...", Zheyuan BAI ," Mentor  Tommaso Soru, Anand Panchbhai ", Organization  DBpedia ,/archive/2020/projects/6352718211317760,https://baiblanc.github.io/2020/08/27/GSOC-Final-Report/
