Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Metadata API and Management and Display of Bibliographies ,"General points:

linked-data metadata with formal schemas
metadata API in three parts: base REST API, content negotiation and export links
interfaces...", Lars Willighagen , Mentor  Ilya Khait , Organization  Cuneiform Digital Library Initiative (CDLI) ,/archive/2020/projects/5453787629617152,https://cdli-gh.github.io/blog/gsoc20/api/posts/results
2, One final step towards the development of Production ready app ,"Production ready and fully optimized CarbonFootprint app with additional features for Android and iOS
CarbonFootprint app is almost ready to be...", Ritesh Agrawal ," Mentor  Sagar Kalra, Bruno Woltzenlogel Paleo, Madhav Gaba ", Organization  AOSSIE ,/archive/2020/projects/5454940291465216,https://bit.ly/2DanqQO
3, DNN’s for precise manipulation of household objects ,"The ability of a robot to detect, grasp and manipulate objects is one of the key challenges in building an intelligent humanoid robot. For a...", Mohamed Shawky ," Mentor  Pablo Bustos, Marco ", Organization  RoboComp ,/archive/2020/projects/5455125545484288,https://gist.github.com/DarkGeekMS/ab9abdad83d7f993f52f7f33d214be32
4, Mentorship iOS ,"An all-new native iOS app for the Mentorship system that will be developed using SwiftUI.
The proposed app would be feature complete and on-par with...", Yugantar Jain ," Mentor  Vatsal Kulshreshtha., Anna Bauza, ginny, Akanksha Srivastava ", Organization  AnitaB.org Open Source ,/archive/2020/projects/5456203011850240,"https://github.com/anitab-org/mentorship-ios/wiki/GSoC20-Final-Report,-Yugantar"
5, IIO Driver ,The main goal of the project is to build an Inustrial I/O driver for LTC2376 SAR ADC in the linux kernel tree. The code will be tested on real..., Meenal Parakh ," Mentor  Dragos Bogdan, Darius Berghe ", Organization  The Linux Foundation ,/archive/2020/projects/5456863765725184,https://github.com/meenalparakh/linux/blob/ltc2376_3/README.md
6, BookReader E2E testing and improvements ,"The scope of this project is to improve  the BookReader framework in two ways.:

The first one is implementing a series of comprehensive end to end...", Giacomo Cignoni , Mentor  Drini Cami , Organization  Internet Archive ,/archive/2020/projects/5458130244206592,https://blog.openlibrary.org/2020/08/29/giacomo-cignoni-my-internship-at-the-internet-archive/
7, Improve hot cold splitting to aggressively outline small blocks ,"This project aims at enhancing the ability to detect and split small cold blocks (for example, __assert_rtn, throws) to the existing hot/cold...", Ruijie Fang ," Mentor  Aditya Kumar, Rodrigo Rocha ", Organization  The LLVM Compiler Infrastructure ,/archive/2020/projects/5461277146611712,https://tr5.org/~ruijie/gsoc20_hcs/index.xhtml
8, Make Oppiabot More Useful ,"Oppia uses a bot to interact with developers when issues and pull requests are made. This Project aims at improving the functionalities of the bot,...", James James , Mentor  Ankita Saxena , Organization  Oppia Foundation ,/archive/2020/projects/5462771258359808,https://medium.com/@jamesjay4199/google-summer-of-code-20-at-oppia-foundation-b2b39c3ebde7
9, Refactoring of test system and alternative API testing ,"Description: The test system needs to be refactored and split up to speed up testing processes with the already existing docker container.
Tests need...", Amela Kurtić ," Mentor  HFinch, Annemarie, Wolfgang Slany ", Organization  Catrobat ,/archive/2020/projects/5467270068830208,https://amelak9.github.io/GSOC_2020/
10, Editing Grease Pencil Strokes Using Curves ,"Since the Blender 2.8 update, that introduced the Grease Pencil object type, there are a couple of primitives that can be added in the Grease Pencil...", Falk David ," Mentor  Antonio Vazquez, Matias Mendiola ", Organization  Blender Foundation ,/archive/2020/projects/5468513495416832,https://wiki.blender.org/wiki/User:Filedescriptor/GSoC_2020/Report
11, Visualization Tool ,Working with mlpack for almost a year was great. I have always been a fan of the concept see and do. If we can see a graph plotting the accuracy..., Jeffin Sam ," Mentor  Ryan Birmingham, Toshal Agrawal ", Organization  mlpack ,/archive/2020/projects/5469125494702080,https://www.mlpack.org/gsocblog/Jeffin2020Summary.html
12, Albums feature ,The current implementation of Albums in MuseScore 3 is buggy and limited. That's why it has been disabled in the normal build. I want to re-implement..., SKefalidis ," Mentor  Joachim 'Jojo' Schmitz, James Thistlewood ", Organization  MuseScore ,/archive/2020/projects/5471142015401984,https://musescore.org/en/node/309683
13, Large-scale modeling of genetic data ,The objective of the problem arises from the reconstruction of gene genealogies problem - from a given genotypes of sequence data from contemporary..., Andjela Todorovic ," Mentor  Ivan Krukov, Simon Gravel ", Organization  Canadian Centre for Computational Genomics ,/archive/2020/projects/5471532320555008,https://docs.google.com/document/d/e/2PACX-1vTtTOMd8SRMk1E_PBjZDz7oTux2O11ZvAzTjVBYLk3tl9RXpEXMkRy-cmA3UqYN8-y8vx2y0Q8mMWzb/pub
14, Optimization problem differentiation ,"Differentiable optimization is a promising field of convex optimization and has many potential applications in game theory, control theory and...", AkshaySharma ," Mentor  Joaquim, Benoît Legat, Mario Souto ", Organization  NumFOCUS ,/archive/2020/projects/5474790959218688,http://www.imakshay.com/post/24
15, Better solvers for SLOPE package ,SLOPE package offers implementations that solve the Sorted L-One Penalized Estimation (SLOPE) model for various objective functions. However when..., Akarsh Goyal ," Mentor  Jonas Wallin, Johan Larsson ", Organization  R Project for Statistical Computing ,/archive/2020/projects/5476086193848320,https://straw-boy.github.io/solvers/
