Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Proposal for Auto-tune RocksDB ,Using machine learning method to tune database configurations automatically, Yuanli Wang , Mentor  Wu , Organization  Cloud Native Computing Foundation (CNCF) ,/archive/2019/projects/4737753357484032,https://github.com/pentium3/AutoTiKV
2, Deep learning based super-resolution algorithms based on OpenCV DNN ,Super Resolution is a subset of algorithms that aim to up-sample a lower quality image to a higher quality one. It’s goal is to create an up-sampled..., Fanny Monori , Mentor  Vladimir Tyan , Organization  OpenCV ,/archive/2019/projects/4738499608051712,https://gist.github.com/fannymonori/9d012e43b90e51666070b7a8a0454a5b
3, Improve back-end test coverage and upgrade it to support Python 3 ,"This project aims to improve backend test coverage to 100%, and then migrate the backend codebase to be simultaneously compatible with both Python 2...", Rishav Chakraborty , Mentor  brianrodri , Organization  Oppia Foundation ,/archive/2019/projects/4745751324786688,https://medium.com/@reshav01/google-summer-of-code-19-with-oppia-a4d4318b1808
4, Thesis Management System ,"I propose the development of a web application that will support the whole lifecycle of a thesis creation, namely, a Thesis Management System(TMS)...", Michail Chatzianastasis ," Mentor  Georgia Kapitsaki, Theodoros Karounos, Iraklis Varlamis ", Organization  Open Technologies Aliance - GFOSS ,/archive/2019/projects/4751403031986176,https://gist.github.com/MichailChatzianastasis/1768fcfcc72ad735bc42ab8456fd16d0
5, Interesting Female Teenagers in Coding Through the Use of a Well-designed Serious Game ,This game will encourage female teenagers to develop their own games in the Catrobat app. As a tutorial game it is the gateway to Catrobat and its..., Naomi Pfaff ," Mentor  Bernadette Spieler, Vesna Krnjic ", Organization  Catrobat ,/archive/2019/projects/4751654488899584,https://github.com/Catrobat/LunaAndCatTutorialGame
6, qaul.net HTTP API ,Regarding the development of an API for the qaul.net rewrite along with a configuration and message management system., Jess Rogers ," Mentor  Katharina Fey, Mathias Jud ", Organization  freifunk ,/archive/2019/projects/4752125056253952,https://blog.freifunk.net/2019/08/26/qaul-net-a-framework-a-service-a-plan/
7, Running FindSim experiments on cloud servers ,The project is about implementing the computing extensive FindSim program on a cloud server and building communication between the web server and the..., Hou Chen , Mentor  Surbhit Wagle , Organization  INCF ,/archive/2019/projects/4752794014187520,https://github.com/surbhit21/GSoC-2019
8, Improve the pdftoraster filter ,"Currently, pdftoraster uses the Poppler libraries which are unstable and change their function definition after updates due to which there are...", Tanmay Anand , Mentor  Sahil Arora , Organization  The Linux Foundation ,/archive/2019/projects/4755926370746368,https://github.com/tanmayanand44/cups-filters-gsoc19/wiki/Google-Summer-of-Code-2019-%7C-The-Linux-Foundation-%7C-Improving-pdftoraster-filter-to-use-stable-Poppler-APIs
9, Edge Animations for Large-Scale Network Graphs ,"With ccNetViz, this large graph render library using WebGL, I'll add edge animations on it. Including color animations, speed control and other fancy...", Xiaodong Zhao ," Mentor  Resa Helikar, Ales Saska ", Organization  Computational Biology @ University of Nebraska-Lincoln ,/archive/2019/projects/4756504865931264,https://brickmaker.github.io/2019/08/20/Google-Summer-of-Code-2019/
10, Port to Python 3. ,"The​ support for Python 2 will be dropped in the coming years and thus it is important to switch
to Python 3. There is a need to make sugar-toolkit...", Aniket Mathur ," Mentor  Rahul Bothra, James Cameron ", Organization  Sugar Labs ,/archive/2019/projects/4759727836233728,https://github.com/sugarlabs/GSoC/blob/master/archives/2019/student-reports/port-to-python-3-Aniket-Mathur.md
11, Improve the UI testing DSL and the log files for UI actions ,The UI testing in LibreOffice is based on introspection code in c++ interacting with a testing framework in python through a simple UNO interface. To..., Ahmed Elshreif ," Mentor  Xisco Fauli, Markus Mohrhard ", Organization  LibreOffice ,/archive/2019/projects/4762543371845632,https://ahmedelshreif.blogspot.com/2019/08/gsoc-final-report.html
12, OWASP Seraphimdroid ,"OWASP Seraphimdroid has previously applied a system, based on permissions, which is able to distinguish malicious apps from non-malicious. But it...", Junfan Huang , Mentor  Nikola Milosevic , Organization  OWASP Foundation ,/archive/2019/projects/4765892590698496,https://docs.google.com/document/d/1WzNZed2Et8eRn7xLYvWI_Wb-FUqpKK88eBp7XNqt20I/edit?usp=sharing
13, Distributed Sparse Linear Algebra Library in Chapel ,"This project includes adding BLAS, Sparse linear algebra and iterative solvers into Chapel.", Alvis Wong , Mentor  Engin Kayraklioglu , Organization  Chapel ,/archive/2019/projects/4768140871860224,https://docs.google.com/document/d/1YcvBmC-mP2dtKqV26zBlj72cESOuKOpQpa4yop64Ny4/edit?usp=sharing
14, LabelLab ,LabelLab is an image analyzing and classification platform. The web application should allow users to upload batches of images and classify them with..., Tushar Varshney ," Mentor  Sumedhe Dissanayake, Oshan Ivantha ", Organization  SCoRe Lab (Sustainable Computing Research Lab) ,/archive/2019/projects/4772875267997696,https://github.com/scorelab/GSoC/blob/master/GSoC-2019/TusharVarshney-LabelLab.md
15, K-DOP tree ,"Intersection problems are common in many engineering applications, for example, enforcement of non-penetration constraints in contact mechanics,...", Xiao Xiao , Mentor  Andreas Fabri , Organization  CGAL project ,/archive/2019/projects/4776393232089088,https://github.com/CGAL/cgal/issues/4179
16, Extending Alga ,"Alga is a library for algebraic construction and manipulation of graphs in Haskell. Currently there are two main goals, as proposed by Mr. Andrey...", O V Adithya Kumar ," Mentor  Andrey Mokhov, Jasper Van der Jeugt, Alexandre Moine ", Organization  Haskell.Org ,/archive/2019/projects/4778315028627456,https://gist.github.com/adithyaov/296dfc965f74002e8a10a8c35ee77e6e
17, IPP: ipptool test suite updates for IPP errata updates ,"I aim to develop additional IPP tool test scripts for IPP errata including IPP Document Object v1.1, IPP Job Extensions v1.1, and IPP 3D Printing...", Sharad Shukla ," Mentor  Smith Kennedy, Ira McDonald, Danny Brennan ", Organization  The Linux Foundation ,/archive/2019/projects/4783275850072064,https://github.com/Sharadd15/ippsample/wiki/Gsoc-2k19-%7C-OpenPrinting-%7C-The-Linux-Foundation-%7C-Ipptool-test-suite-updates-for-IPP-errata-updates
18, Human Centered Education of CC Licenses ,The process of licensing a creative work can be very confusing. What license is right for me? How do I formally license my work? How do I help people..., Ari Madian ," Mentor  Breno Ferreira, Alden Page ", Organization  Creative Commons ,/archive/2019/projects/4784447168184320,https://opensource.creativecommons.org/blog/entries/cc-chooser-lastweek/
19, Automating Packaging for Macports ,"While creating a Portfile for MacPorts one has to manually write the file or depending on the upstream use tools such as pypi2port, cpan2port, etc....", Karan Sheth ," Mentor  Renee, Cyril Roelandt ", Organization  MacPorts ,/archive/2019/projects/4785498831192064,https://gist.github.com/Korusuke/7b2ccf20533bc904b18ec5554d149730
20, BCF Support in BIM WB - FreeCAD ,"Collaboration is ingrained into human nature, without it we, as a species, wouldn’t be able to build astonishing buildings like we have today....", Patrick Podest ," Mentor  HSRai, Yorik van Havre ", Organization  BRL-CAD ,/archive/2019/projects/4786423121575936,https://github.com/podestplatz/BCF-plugin-FreeCAD
21, Support Source IP Based Query Block/Allow in CoreDNS ,"When CoreDNS serves DNS queries publicly or inside Kubernetes clusters, the source IP of the incoming DNS query is an important identity. For...", An Xiao , Mentor  Yong Tang , Organization  Cloud Native Computing Foundation (CNCF) ,/archive/2019/projects/4786589752885248,https://github.com/ihac/acl
22, Make pack access code thread-safe ,"As direct as possible, the goal with this project is to make more of Git’s codebase thread-safe, so that we can improve parallelism in various...", Matheus Tavares ," Mentor  telezhnaya, Christian Couder ", Organization  Git ,/archive/2019/projects/4787791739748352,https://matheustavares.gitlab.io/posts/gsoc-final-report
23, Mobile Wallet - Android App Version 3.0 ,Mobile Wallet is an Android-based framework for mobile wallets based on top of Fineract. The app follows the clean architecture and contains a core..., Shivansh Tiwari , Mentor  Naman Dwivedi , Organization  The Mifos Initiative ,/archive/2019/projects/4788226420637696,https://gist.github.com/shiv07tiwari/acb5a7266fe685e8332498fd32b00bf0
24, Symbolic PyMC and PyMC4 Integration ,"The pymc project is an open source collaboration that focuses on providing
Bayesian modeling as well as probabilistic machine learning. The current...", Joseph Willard , Mentor  Chris Fonnesbeck , Organization  NumFOCUS ,/archive/2019/projects/4788238147911680,https://josephwillard.github.io/updates-and-the-end-of-gsoc.html
25, Implementing CHAOSS Metrics with Perceval ,"The aim of this project is to create reference implementations and tests, primarily for the metrics defined by the Evolution Working Group, but also...", Aniruddha Karajgi ," Mentor  Jesus Gonzalez-Barahona, valcos, Pranjal Aswani ", Organization  CHAOSS ,/archive/2019/projects/4788572886925312,https://polaris000.github.io/blog/final_report
26, Parallelize GCC with Threads ,"GCC alone is unable to compile a single large file in parallel, causing parallelization bottlenecks in some projects such as GCC itself. Here we...", Giuliano Belinassi , Mentor  Richard Biener , Organization  GNU Compiler Collection ,/archive/2019/projects/4789348396957696,https://gcc.gnu.org/wiki/ParallelGcc
