Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Showcase performance of PyTorch Image Models (Timm) with OpenVINO ,My proposal aims to optimize PyTorch Image Models (Timm) using OpenVINO and NNCF libraries. The problem at hand is that these models are..., Sawradip Saha ," Mentor  Liubov Talamanova, Alexander Kozlov ", Organization  OpenVINO Toolkit ,/archive/2023/projects/WIZaWTq5,https://github.com/huggingface/optimum-intel/pull/404
2, Polygon repair ,"Polygons are defined by one outer ring and possibly multiple inner rings representing holes, where each ring is usually represented as a sequence of...", Ken Arroyo Ohori ," Mentor  sloriot, Andreas Fabri ", Organization  CGAL Project ,/archive/2023/projects/ivuH5hxv,https://github.com/CGAL/cgal/issues/7699
3, [PolyPhy] Polyphorm / PolyPhy - PolyPhy infrastructure engineering and practices ,This proposal aims to enhance the infrastructure of PolyPhy by developing new architecture and maintaining existing codebases. The project will..., Prashant Jha ," Mentor  Oskar Elek, Anisha Goel ", Organization  UC OSPO ,/archive/2023/projects/lyUInSPD,https://docs.google.com/document/d/12ukDTJ5jv9fUjNwoRGZvp92vTTUXKI82fx3obwlFN8s/edit
4, Improving SDF support in Icarus Verilog ,"When you design a digital circuit, you want to make sure that all timings are correct, even post-layout. Therefore, the gate level netlist is...", Leo Moser ," Mentor  Tim Edwards, Mohamed Shalan, Cary R ", Organization  Free and Open Source Silicon Foundation ,/archive/2023/projects/Oj6mrbBI,https://mole99.uber.space/2023/GSoC_Final/GSoC23%20%E2%80%94%20Final%20Project%20Report.html
5, Scala Center GSoC Proposal: Data Visualization ,"The Doodle library for compositional vector graphics can be further improved by adding support for coordinate planes, the grid, legend, labels and...", Danylo Ostapchenko , Mentor  Noel Welsh , Organization  Scala Center ,/archive/2023/projects/LmQEiuJv,https://danielost.github.io/posts/gsoc23/
6, Rework Linetool to Multilinetool with moveable vertices ,"I want to enable the linetool to act as a multiline tool with vertices that are changeable, deletable, addable, and saveable. This would allow users...", Lenkomotive ," Mentor  Thorsten  Bandel, Julia Herold ", Organization  International Catrobat Association ,/archive/2023/projects/A932RNkG,https://gist.github.com/Lenkomotive/98473bd260a05e1372a6daf4410645e9
7, Mission Support System : Implement a SAML 2.0 service provider (SP) into mscolab ,A collaboration server is owned by Mission Support System. Local users can be created by using this server. Existing identity providers using SAML..., Nilupul Manodya ," Mentor  joernu76, Reimar Bauer, Matthias Riße ", Organization  Python Software Foundation ,/archive/2023/projects/hnWHcEYQ,https://github.com/Open-MSS/MSS/wiki/Implement-a-SAML-2.0-service-provider-(SP)-into-mscolab-:-GSOC-2023
8, Perf Data Converter ,Linux profiling tool a.k.a perf is the home for analyzing the entire system. It provides the support to analyze the stacks end to end leading from..., Anup Sharma ," Mentor  Ian, Namhyung Kim ", Organization  The Linux Foundation ,/archive/2023/projects/OTLxQ6xy,https://gist.github.com/TwilightTechie/94f6fc54413e7d88b751615ff280af17
9, Sugarizer Word Puzzle Template and Chart activity ,"The Chart activity offers various features, such as creating customized charts, collaborate with their peers, exporting charts, and using different...", UtkarshSiddhpura ," Mentor  Lionel Laské, Nikhil Mehra ", Organization  Sugar Labs ,/archive/2023/projects/YxWqJ2nt,https://github.com/UtkarshSiddhpura/Google-Summer-of-Code/wiki/GSoC-2023-Final-Submission:-Sugarizer-Word-Puzzle-and-Chart-Activity
10, Improving Efficiency and Readability of the gprMax codebase and preparing a custom support chatbot. ,The major objectives of the project are: 1. Refactoring the Python code to increase efficiency and readability and increase the overall code quality..., V. Sai Suraj ," Mentor  Craig, John Hartley ", Organization  gprMax ,/archive/2023/projects/yqaL17VS,https://medium.com/@manosaisuraj12/gsoc23-work-product-submission-f6dfba458bd2
11, Extending the data structures and algorithms along with providing C++ backend. ,PyDataStructs is a high-performance python package for data structures and algorithms providing C++ backend via Python C-API as well as a parallel..., Sakshi Oza ," Mentor  Saransh Chopra, czgdp1807, Smit Lunagariya, Ivan Ogasawara, Alex de Siqueira ", Organization  NumFOCUS ,/archive/2023/projects/42ye2zYO,https://gist.github.com/sak-codes/2c2d948f8ec285360247db6606cb4ad3
12, Varnish Cache support in Apache Traffic Control ,Apache Traffic Control is a Content Delivery Network that that requires Apache Traffic Server as the underlying cache. The goal is to extend the..., AbdulrahmanElawady , Mentor  Eric Friedrich , Organization  Apache Software Foundation ,/archive/2023/projects/Y9YXNhle,https://abdelrahmanelawady.github.io/GSoC-2023/
13, LG Gesture and Voice Control ,The LG Gesture and Voice Control Project aims to improve the control of the Liquid Galaxy Rig by providing a more comprehensive solution using voice..., Sudhanyo Chatterjee ," Mentor  Andreuibanez, Gabry, Merul Dhiman, Alejandro Illán Marcos ", Organization  Liquid Galaxy project ,/archive/2023/projects/q7XviTSE,https://github.com/Sudhanyo/LG-Gesture-And-Voice-Control
14, Improving Japanese Search Capability: Adding Japanese Morphological Analysis Functionality ,"Japanese addresses are unique and have a different system compared to other countries. The address format is in block style, and is different from...", Miku ," Mentor  Sarah Hoffmann, mtmail ", Organization  OpenStreetMap ,/archive/2023/projects/0TtY6g6k,https://docs.google.com/document/d/1wuVfzD_F2dyUMW6Gdg0RZWmkMhzTnP6X-LQ41WyEXQQ/edit
15, Add Acrostic Puzzles to GNOME Crosswords ,This project would start by extending a library called libipuz. This library loads and saves puzzles from the free ipuz file format. They would add..., Tanmay Patil , Mentor  jrb , Organization  GNOME Foundation ,/archive/2023/projects/Dj3YZXU4,https://docs.google.com/document/d/1EPvboKOfs8Ry9fWKEUzOI7metTBehOkF2mfus4SIr5w/edit
16, NodeCloud ,NodeCloud is a standard library to get a single API on the open cloud with multiple providers. It is a NodeJs library which comes with plugins for..., Partik Singh ," Mentor  Mohit-Bhat, Rajitha Pasindu Warusavitarana ", Organization  SCoRe Lab ,/archive/2023/projects/62Zo1VXJ,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/06-Partik-Singh-NodeCloud.md
17, Improving INP Metric by Exposing InteractionId to a Wider Range of Events ,"Imagine typing a cheerful ""hello😁"" on your keyboard, expecting a smooth and quick response, but instead, the browser stumbles, struggling to keep up...", Patricija Cerkaite ," Mentor  Pallavi, Aoyuan Zuo ", Organization  Chromium ,/archive/2023/projects/xaBTCCjG,https://patricijia.github.io/GSoC-2023/
18, [ScaleBugs] ScaleBugs: Reproducible Scalability Bugs ,Scalable systems lay essential foundations of the modern information industry. HPC data centers tend to have hundreds to thousands of nodes in their..., Goodness Ay ," Mentor  Haryadi Gunawi, Cindy Rubio-González ", Organization  UC OSPO ,/archive/2023/projects/pBo3OM0n,https://docs.google.com/document/d/16CoooUcUrmb7V7f5lqAemy8Aio12A_Yb6dc-mHwjUEE/edit?usp=sharing
