Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Approximated (Discrete)  Centroidal Voronoi Diagrams ,This project introduces a new simplification (and remeshing) framework to CGAL. Based on the Approximated Centroidal Voronoi Diagrams (ACVD) project..., Hossam Mohamed Saeed ," Mentor  sloriot, Sébastien Valette ", Organization  CGAL Project ,/archive/2023/projects/VrwwMSuN,https://github.com/CGAL/cgal/issues/7852
2, Enhance Tokenizers and Implement end-to-end Token Classification Tasks ,The objective of this project is to implement Token Classification tasks for the KerasNLP library. The focus will be on enhancing the tokenizers API...," Mishra, Anshuman "," Mentor  Matthew Watson, Chen Qian ", Organization  TensorFlow ,/archive/2023/projects/X4GwVWLu,https://docs.google.com/document/d/1j9obAx5vrPyQXLqCmSHhNQQqZjHB3jOGmHSCOxR3FkA/edit?usp=sharing
3, shenyu-springcloud-plugin-e2e-testcase-proposal ,"E2e (End to End), also known as end-to-end testing, is a method used to test whether the application flow is executed as designed from beginning to...", QinHaiqi ," Mentor  moremind, likeguo, daming ", Organization  Apache Software Foundation ,/archive/2023/projects/OeKmTy4J,https://gist.github.com/HaiqiQin/1825af8245210185d3d6f25b1fa52306
4, Improvements in Clang Diagnostics ,"Clang diagnostic is an interface for programmers that assists them in writing bug-free, efficient source codes. The aim of this proposal is to...", Takuya Shimizu , Mentor  Timm Bäder , Organization  LLVM Compiler Infrastructure ,/archive/2023/projects/wxRFR261,https://docs.google.com/document/d/1k4Jxh6ATzpFSaDgfkT7ALBCcuj6lRE-PKblt9UGuYu8/edit?usp=sharing
5, Having Versioned Atomic Data Repositories ,"Carsus generates an HDF file by combining data from various sources. This HDF file can be used by Tardis to generate Atomic Spectra. However, when a...", Shikha Rathi ," Mentor  Wolfgang Kerzendorf, Atharva Arya, afloers, Ezequiel Pássaro, Joshua Shields, Isaac Smith ", Organization  TARDIS RT Collaboration ,/archive/2023/projects/tXpWIPLe,https://gist.github.com/s-rathi/5ece9b45b03d43cc7ad4c53d9da24c6c
6, Implement Playlist Demux Module in Rust ,This project aims to address the limitations of the current C-based development of the open-source VideoLAN Client (VLC) media player in terms of..., Akram Ansari ," Mentor  Thomas Guillem, Alexandre Janniaux ", Organization  VideoLAN ,/archive/2023/projects/6ZBYqoaE,https://code.videolan.org/loic/vlc/-/merge_requests/8
7, Improve Chromecast Support (subtitles) ,"VLC Media Player is one of the most popular and widely used media players in the world. While it already supports Chromecast, there are several...", Soham Gupta , Mentor  Alaric Sénat , Organization  VideoLAN ,/archive/2023/projects/465XuPyw,https://gupta-soham.github.io/gsoc23/
8, Chirag's Proposal for Borg Collective ,"My proposed project aims to enhance the Borg ecosystem by tackling three main areas: Filter option in diff and extract view in Vorta, implement live...", Chirag Aggarwal ," Mentor  Manuel Riel, yfprojects (borg collective), Grant ", Organization  Python Software Foundation ,/archive/2023/projects/jbNMH32a,https://chirag.sh/gsoc-2023-wrapping-things-up/
9, OpenRAM Layout verses Schematic (LVS) visualization ,"This project aims to develop a comprehensive Python-based graphical user interface (GUI) with a robust backend system to effectively analyze,...", Mahnoor_Ismail ," Mentor  mrg, jcirimel ", Organization  UC OSPO ,/archive/2023/projects/f9rIZ3dm,https://mahnoorismail011.medium.com/the-lvs-visualizer-your-ultimate-circuit-design-companion-2dc5cbc7caa2
10, Add support for Encrypted Client Hello (ECH) ,"The TLS Encrypted ClientHello (ECH) extension enables clients to encrypt ClientHello messages, avoid leaking sensitive fields, like the server name...", Pokémon ," Mentor  Sahana Prasad, Daiki Ueno, Zoltan, Norbert Pocs ", Organization  GnuTLS ,/archive/2023/projects/weKJfjhz,https://peonix.gitlab.io/gnutls-gsoc-2023/
