Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Unified Measurement Facility ,"FreeCAD currently has several ways of measuring objects, causing confusion for users and making the learning curve steeper. The proposed project aims...", hlorus ," Mentor  wandererfan, Chris Hennes ", Organization  FreeCAD ,/archive/2023/projects/w0LSLLQE,https://gist.github.com/hlorus/6722b7487249e3e747f3b9d2a7fad6e0
2, Enable & Improve Multi Display Chrome Testing Capabilities ,"In this project, our aim is to enable the capability for testing multi-display APIs for Chromium, on Windows OS. In order to achieve this, we are...", Avi Mathur ," Mentor  Sreeja Kamishetty, btriebw, Mike Wasserman ", Organization  Chromium ,/archive/2023/projects/EaWBWece,https://docs.google.com/document/d/1Iq8t2GS4lMBcUQK9sNr-_nAiL6jpljw8d9nuy5uFEr4/edit?usp=sharing
3, Adding APNG import/export support ,APNG (Animated PNG) is an animated format backwards compatible with PNG. It is supported by all the major browsers and has benefits over GIF such as..., Oplopoios Paris , Mentor  Tomaž Vajngerl , Organization  LibreOffice ,/archive/2023/projects/VVKVeknp,https://offtkp.github.io/GSoC23FE/
4, Breaking the Thread Barrier: Boosting I/O Performance  with io_uring and FS2 ,The current state of the asynchronous I/O on the JVM involves using separate selector threads to manage I/O events through system functions like..., Antonio Jimenez ," Mentor  armanbilge, Fred Honório, Christopher Davenport, Daniel Spiewak ", Organization  Scala Center ,/archive/2023/projects/RDa4p6HQ,https://github.com/armanbilge/fs2-io_uring/pull/78
5, API: IMPROVED BACKEND PERFORMANCE AND SECURITY ,"The project aims to make the following changes to the talawa-api: Enforce a stricter, standard graphql-pattern to get rid of the current anti-pattern...", Kanishka Bansode ," Mentor  Crystian Ioppolo, Kevoniat, Rumone ", Organization  The Palisadoes Foundation ,/archive/2023/projects/Q1VEwusQ,https://github.com/kb-0311/GSoC-2023-Final-Report#readme
6, Better Java 11 Support for Java Pathfinder ,Java Pathfinder (JPF) is a Java virtual machine that can run compiled Java programs as well as model checking it. It is also an extensible software..., Daohan Qu ," Mentor  Cyrille Artho, Pavel Parizek, Soha Hussein ", Organization  The JPF team ,/archive/2023/projects/lwLp9Tuy,https://docs.google.com/document/d/1sTP9xfc-XRT2GTLsQoJYBv7CMogTIDS7yEqozEebtbg/edit?usp=sharing
7, Extraction of Gesture Features ,"The way humans interact with each other occurs in multimodality. We not only articulate words but also, show them. Expressing different concepts such...", Dhruv Tyagi ," Mentor  Peter Uhrig, Swadesh ", Organization  Red Hen Lab ,/archive/2023/projects/yWTZ53Vp,https://medium.com/@Dhruv_Tyagi/gsoc-2023-red-hen-lab-feaa572f2cdc
8, Auto-growing layers ,"GNU Image Manipulation Program, or GIMP in short, is one of the most popular image editing programs that is Free and Open Source. But currently, the...", sbdaule5 , Mentor  Jehan , Organization  GNU Image Manipulation Program ,/archive/2023/projects/6mh7rn5o,https://gitlab.gnome.org/GNOME/gimp/-/merge_requests/961
9, Better Faust on the Web ,"Faust is a functional programming language that enables people to express sound synthesis and audio processing algorithms concisely, efficiently, and...", Ian Clester ," Mentor  sletz, Jason Freeman ", Organization  GRAME ,/archive/2023/projects/L6oI4LhW,https://ijc8.me/2023/08/27/gsoc-faust/
10, Facilitating H5P and SCORM import in Kolibri Studio ,This project tries to solve the problem of importing two new file formats called H5P and IMS Content Package (SCORM). These packages' metadata needs..., Manav Aggarwal , Mentor  Richard Tibbles , Organization  Learning Equality ,/archive/2023/projects/ee06M2RH,https://github.com/learningequality/studio/issues/4081
11, Support CycloneDX report ,"Currently, FOSSology generates SBOM in SPDX format, which allows for integration with various tools. However, CycloneDX is another popular format for...", Sushant Kumar ," Mentor  Gaurav Mishra, Avinal Kumar, HastagAB, Kaushlendra ", Organization  FOSSology ,/archive/2023/projects/DrUld2iF,https://github.com/its-sushant/GSoC-23
12," HAPIS Refurbishment ""Humanitarian Aid Panoramic Interactive System"" ",Introduction: The main idea of HAPIS Refurbishment is to have a simple functional application that is able to connect those who need something with..., Mahinour Elsarky ," Mentor  Karine Pistili Rodrigues, Claudia, Deniz Yuksel ", Organization  Liquid Galaxy project ,/archive/2023/projects/Fv4ImOa2,https://medium.com/@mahinouralaa2002/google-summer-of-code-2023-with-liquid-galaxy-organization-f9dd550f6bc1
13, Support Vespucci preset extensions in JOSM ,"Vespucci, the Android editor for OpenStreetMap, uses the JOSM-compatible presets for tagging. Vespucci, however, has evolved to support far greater...", Sarabjeet Sodhi ," Mentor  Simon Poole, Taylor Smock ", Organization  OpenStreetMap ,/archive/2023/projects/2ef3Fr1d,https://www.openstreetmap.org/user/Sarabjeet%20Sodhi/diary/402268
14, Kubectl plugin for Armada ,"The proposal deals with the problem of the creation of a kubectl plugin for Armada, the creation of the desired plugin will allow users to...", Shivang Shandilya ," Mentor  Kevin Hannon, Geoff Wilson ", Organization  CNCF ,/archive/2023/projects/tQdgYCVe,https://github.com/ShivangShandilya/GSoC-2023
15, COVID-19 data explorer ,"The project is a data visualizer about COVID 19, it aims to analyze the data obtained about the virus through an API, calculate its evolution using...", Ana Laura ," Mentor  Marc Gonzalez Capdevila, Karine Pistili Rodrigues ", Organization  Liquid Galaxy project ,/archive/2023/projects/UTsePWCM,https://github.com/Na1au/COVID19_data_explorer
16, Automated system for packaging freeware games with ScummVM ,"This project aims to develop an automated system that simplifies the packaging of freeware games for various platforms (like google play, steam,...", AnkushDutt ," Mentor  John Willis, Niv Baehr ", Organization  ScummVM ,/archive/2023/projects/HzM31ka6,https://blogs.scummvm.org/ankushdutt/2023/08/27/final-submission/
17, Enhancing OpenPiton+Ariane With a High-Performance Data Cache ,"As the demand for High-Performance Computing (HPC) continues to grow, there is a need for open-source solutions that can deliver the performance...", Noelia Oliete Escuín ," Mentor  Jonathan Balkind, César Fuguet ", Organization  Free and Open Source Silicon Foundation ,/archive/2023/projects/4SrrAPf1,https://aileonn.github.io/projects/gsoc/
