ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
1, Pattern 3 Natural Language processing ,The idea of the project is to improve the Pattern framework and complete some useful tasks. It's important also to add new functionality and modern..., Maksim Filin ," Mentor  Tom De Smedt, Markus Beuckelmann "," Organization  CLiPS, University of Antwerp ",/archive/2018/projects/6526264076664832,https://docs.google.com/document/d/1fnurIKe4ebAfDHtWLxf_wtrP6rQkn7sh2hdhM0BAkWU/edit?usp=sharing,No,Yes,The idea of the project is to improve the Pattern framework and complete some useful tasks. It's important also to add new functionality and modern modules in Pattern 3 version.,[],[]
2, Scipy: Rotation formalism in 3 dimensions ,"Provides a single clean interface to the different representations of 3D rotations (matrices, Euler angles, quaternions). Also supports many useful...", Aditya Bharti ," Mentor  Ralf Gommers, Nikolay Mayorov, Eric Larson ", Organization  Python Software Foundation ,/archive/2018/projects/6526871546101760,https://blogs.python-gsoc.org/aditya-bharti/2018/08/10/work-product-summary/,No,No,"Provides a single clean interface to the different representations of 3D rotations (matrices, Euler angles, quaternions). Also supports many useful algorithms such as SLERP, uniform random sampling, and solutions to Wahba's problem",[],[]
3, Bassa - Mobile App ,Bassa is automated download queue for the enterprise to take the best use of their internet bandwidth. It is capable of avoiding redundant downloads..., Gayashan Bombuwala ," Mentor  Padam Chopra, Bhathiya *JaDogg* Perera, Saisankar Gochhayat, Rajika Abeyrathne, iammosespaulr ", Organization  Sustainable Computing Research Group (SCoRe) ,/archive/2018/projects/6534682749435904,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Gayashan_Bombuwala-Bassa_Mobile.md,No,No,"Bassa is automated download queue for the enterprise to take the best use of their internet bandwidth. It is capable of avoiding redundant downloads within an enterprise. Currently, users interact with Bassa using the Bassa web-app. The objective of this project is to design and implement a new mobile app for Bassa.",[],[]
4, Strimzi - Bridging HTTP to Apache Kafka. ,"Strimzi is a project about running Apache Kafka on Kubernetes and OpenShift.
An important component of Strimzi is Amqp-Kafka bridge which as the name...", Shubham Vashisht , Mentor  Paolo Patierno , Organization  JBoss Community ,/archive/2018/projects/6538568553988096,https://gist.github.com/shubhamvashisht/21515516f6015adc8671029d7f21cc52,No,Yes,"Strimzi is a project about running Apache Kafka on Kubernetes and OpenShift.
An important component of Strimzi is Amqp-Kafka bridge which as the name suggests bridge Amqp clients to Apache kafka. The idea is to extend the capability of bridge to support HTTP client too. As proposed, The bridge will be able to provide an interface to link HTTP clients and kafka bridge.

HTTP clients can publish messages to kafka.
Clients can consume messages from kafka.","['https://github.com/strimzi/amqp-kafka-bridge/pull/100/commits/84a3e6ee7d6372c10586c1f15dba899b3fddbe21', '#initial-commit-for-http-server-implementation--httpsgithubcomstrimziamqp-kafka-bridgepull100commits84a3e6ee7d6372c10586c1f15dba899b3fddbe21', 'https://github.com/strimzi/amqp-kafka-bridge/pull/100/commits/0d5ae1eb119b9eb4f4e14dafc1455b3e7cc9e6a6', '#producer-pr--httpsgithubcomstrimziamqp-kafka-bridgepull100commits0d5ae1eb119b9eb4f4e14dafc1455b3e7cc9e6a6-in-this-commit-i-implemented-the-following-featurescommits-', 'https://github.com/strimzi/amqp-kafka-bridge/pull/100/commits/958f5aa0aea1f4b8ec27c5ec61dc42c962165cc8', '#consumer-pr--httpsgithubcomstrimziamqp-kafka-bridgepull100commits958f5aa0aea1f4b8ec27c5ec61dc42c962165cc8-in-this-commit-i-implemented-following-features']",[]
5, Integration plugin for 3rd party frameworks. ,"This project tries to provide user the ability to use the functionalities, provided by third party external frameworks such as Pupy or PowerShell...", zed009 , Mentor  busterb , Organization  Metasploit ,/archive/2018/projects/6540011662999552,https://docs.google.com/document/d/1sOx0hf3LBTbkxy9bPmmGGv2jGyUu7k5FzwIxM5CcbX0/edit?usp=sharing,No,Yes,"This project tries to provide user the ability to use the functionalities, provided by third party external frameworks such as Pupy or PowerShell Empire, from within the Metasploit Framework, by creating a shim between the APIs and providing necessary modules, which uses the Extension Configuration Block instead of dropping binaries to disk.",[],[]
6, #15 - CONPOT: Protocols Wave #2 ,"Conpot is an ICS/SCADA honeypot that supports a number of industrial protocols and environments. For Conpot to emulate industrial devices better,...", Abhinav Saxena ," Mentor  Johnny Vestergaard, /)/) ", Organization  The Honeynet Project ,/archive/2018/projects/6545536467337216,https://github.com/mushorg/conpot/wiki/GSoC-2018---Final-Report,Yes,Yes,"Conpot is an ICS/SCADA honeypot that supports a number of industrial protocols and environments. For Conpot to emulate industrial devices better, this summer I would work on adding functionality that let’s protocols interact more deeply with each other. This includes adding an internal interface, a central authentication module and a versioned-journaled virtual file system. 
This would follow support for protocols such as TFTP, FTP and Telnet. I would also write supporting tests and documentation for the above features.","['https://github.com/mushorg/conpot/pull/374', 'https://github.com/mushorg/conpot/pull/375', 'https://github.com/mushorg/conpot/pull/382', 'https://github.com/mushorg/conpot/pull/374', 'https://github.com/mushorg/conpot/pull/375', 'https://github.com/mushorg/conpot/pull/382', 'https://github.com/mushorg/conpot/pull/382', 'https://github.com/mushorg/conpot/pull/380', 'https://github.com/mushorg/conpot/pull/392', 'https://github.com/mushorg/telnetsrvlib/pull/1', 'https://github.com/mushorg/conpot/pull/375', 'https://github.com/mushorg/conpot/pull/356']","['https://github.com/mushorg/conpot/issues/358', 'https://github.com/mushorg/conpot/issues/352', 'https://github.com/mushorg/conpot/issues/341', 'https://github.com/mushorg/conpot/issues/378', 'https://github.com/mushorg/conpot/issues/285', 'https://github.com/mushorg/conpot/issues/250', 'https://github.com/mushorg/conpot/search?q=%40xandfury+is%3Aissue+updated%3A2018-05-14..2018-08-14&unscoped_q=%40xandfury+is%3Aissue+updated%3A2018-05-14..2018-08-14&type=Issues', 'https://github.com/mushorg/conpot/issues/389', 'https://github.com/mushorg/conpot/issues/22', 'https://github.com/mushorg/conpot/issues/60', 'https://github.com/mushorg/conpot/issues/393']"
7, Adding Notes to iD Editor ,Notes help users and editors understand what needs to be fixed. Adding notes to the iD editor allows editors to see descriptions of issues for an..., Thomas Hervey ," Mentor  Bryan Housel, Marc Farra ", Organization  OpenStreetMap ,/archive/2018/projects/6551746721611776,https://www.openstreetmap.org/user/Thomas_Hervey/diary/,Yes,No,"Notes help users and editors understand what needs to be fixed. Adding notes to the iD editor allows editors to see descriptions of issues for an area that they are working on, comment on them, and close them.","['https://github.com/openstreetmap/iD/pull/5201', 'https://github.com/openstreetmap/iD/pull/5107']","['https://github.com/openstreetmap/iD/issues/5171', 'https://github.com/openstreetmap/iD/issues/5153', 'https://github.com/openstreetmap/iD/issues/5172', 'https://github.com/openstreetmap/iD/issues', 'https://github.com/openstreetmap/iD/issues/2629']"
8, Continue development of the Chrome extension “Wayback Machine” ,The Wayback Machine chrome extension helps to make the web more reliable by detecting dead web pages and offering to replay archived versions of..., Anish Kumar Sarangi , Mentor  abhidas , Organization  Internet Archive ,/archive/2018/projects/6554366517444608,https://github.com/anishsarangi/GSOC-Project,No,No,"The Wayback Machine chrome extension helps to make the web more reliable by detecting dead web pages and offering to replay archived versions of them. When previously valid URLs don’t respond, but instead return a result code of 404, it can be seen through wayback machine. Some of the features, where I would like to work on are -

Fixing the existing bugs
Enabling the extension to automatically archive a page if not previously archived
Redesigning About page .
Adding Context Feature with user’s control
  (a). Users can control which how they want to see the context.
  (b). Users can select if they want the context to auto-update while visiting any new URL.
  (c). Users can select which context screens they want to see.They can select individual context screen also.
Adding Wayback Machine Overview, annotations of the current URL and Domain as a Context Screen.
Adding SimilarWeb Overview of the Current URL as a Context Screen .
Adding tag-cloud of a host as a Context Screen.
Adding Single Window Context and getting all the Context Screen datas as JSON(Alexa, Whois, Twitter, Wayback Machine Overview, Annotations and Tagcloud).
Adding Books Feature",[],[]
9, Drola - Backend with Realtime Database ,Redesign and Implement the DroLa system as a real time database based system instead of  WebSocket based system. Introduced bi-directional end-to-end..., Janagan Siva ," Mentor  Chamath Keppitiyagama, Girisha De Silva, Nithila Vithanage, Nandika Kasun De Zoysa, Namal Jayasuriya-1, Chamath Silva ", Organization  Sustainable Computing Research Group (SCoRe) ,/archive/2018/projects/6556513866874880,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Janagan_Siva-Drola_Backend.md,No,No,"Redesign and Implement the DroLa system as a real time database based system instead of  WebSocket based system. Introduced bi-directional end-to-end secured communication between sensor nodes and Application Server. A new packet structure with the binary level message header, header parser and message parsers to make the system more general to use as a general tracking system.",[],[]
10, Convolutional Deep Neural Networks on GPUs for Particle Physics Applications ,The project's ultimate goal is to provide a GPU implementation for the existing Convolutional Neural Network package within root/tmva.  During my..., Emmanouil Stergiadis ," Mentor  Saurav Shekhar, Vladimir Ilievski, Lorenzo Moneta ", Organization  CERN-HSF ,/archive/2018/projects/6556700429516800,https://gist.github.com/steremma/048549de16cc48610233c943ecf495b4,No,Yes,"The project's ultimate goal is to provide a GPU implementation for the existing Convolutional Neural Network package within root/tmva.  During my preliminary work with the codebase, I discovered that the current package's public interface can be further improved. Since performing this change can significantly reduce the complexity of my main task, as well as any future extensions to the package, I plan to work on it during the first phase of the summer period. The first part of the present proposal goes through the necessary changes to achieve a clean API. The rest of the proposal iterates through the main modules that need to be ported into the GPU implementation. These are the different layer types that can be included in a convolutional neural network, as well as a number of generic helper functions. Attention is drawn on guaranteeing the deliverable's quality, both in terms of correctness and in terms of speed-up. This will be achieved through extensive testing and standardized benchmarking respectively.","['https://github.com/root-project/root/pull/2229', 'https://github.com/root-project/root/pull/2118', 'https://github.com/root-project/root/pull/2175', 'https://github.com/root-project/root/pull/2233', 'https://github.com/root-project/root/pull/2301', 'https://github.com/root-project/root/pull/2386', 'https://github.com/root-project/root/pull/2475', 'https://github.com/root-project/rootbench/pull/76', 'https://github.com/root-project/root/pulls?utf8=%E2%9C%93&q=is%3Apr+author%3Asteremma+is%3Aclosed+is%3Amerged+']",[]
11, Vulkan-ize VirGL ,"VirGL provides an OpenGL path well supported on Linux guests. On the host, QEMU offers several console back-ends, from EGL to SDL. Adding a Vulkan...", Nathan Gauër , Mentor  Marc-André Lureau , Organization  QEMU ,/archive/2018/projects/6557966572453888,https://gist.github.com/Keenuts/ede88bfe603018a0bc702aed6ce5905d,No,Yes,"VirGL provides an OpenGL path well supported on Linux guests. On the host, QEMU offers several console back-ends, from EGL to SDL. Adding a Vulkan path will require to change the current VirGL API, write new guest drivers, and also offer a way to display the output. This is a huge task, which can be split in several sub-projects. Expending the current  VirGL API  to support Vulkan is the first step.",[],[]
