ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
1, Static Code Analysis Integration and PHPUnit code coverage report Improvements for CiviCRM ,This project aims at integrating Vimeo’s Psalm into the CiviCRM Jenkins toolchain for static analysis purposes. This project will also work on..., Ndubuisi Onyemenam ," Mentor  Jack Gleeson, Eileen McNaughton, Joseph Murray ", Organization  CiviCRM ,/archive/2019/projects/6004390752681984,https://gist.github.com/prondubuisi/5f2ac383046a403b10fe773547e76951,No,Yes,This project aims at integrating Vimeo’s Psalm into the CiviCRM Jenkins toolchain for static analysis purposes. This project will also work on improving Code coverage report generation for CiviCRM. Both static analysis and improved code  test coverage reports will make for better quality assurance benchmarks for CiviCRM.,"['https://github.com/prondubuisi/psalmoutput/blob/master/report.md#analyzing-civi-core-with-psalm-and-cicd-tooljenkins-on-pull-request', 'https://github.com/prondubuisi/civi-mirror/pull/6', 'https://github.com/prondubuisi/civi-mirror/pull/10', 'https://github.com/civicrm/civicrm-core/pull/15043', 'http://www.inanzzz.com/index.php/post/ljgv/setup-github-and-jenkins-integration-for-pull-request-builder-and-merger']",['https://github.com/vimeo/psalm/issues?q=is%3Aissue+author%3Aprondubuisi+is%3Aclosed']
2, Working Hours Plugin - UI Improvements ,The current Working Hour Plugin provides an interface to set up a schedule of allowable build times but the user interface and usability still need..., Jack Shen ," Mentor  Banerjee Arnab, Jeff Pearce, Keith Zantow ", Organization  Jenkins project ,/archive/2019/projects/6005137003249664,https://jenkins.io/projects/gsoc/2019/working-hours-improvements/,No,No,The current Working Hour Plugin provides an interface to set up a schedule of allowable build times but the user interface and usability still need enhancement. Thus a new user interface based on new technologies like React could be used to optimize user experience and code readability.,[],[]
3, Add Support for WOFF2 Fonts to FreeType ,"The aim of this project is to integrate seamless support for the WOFF File Format 2.0 into FreeType so that these fonts can be recognized,...", Nikhil Ramakrishnan , Mentor  Werner Lemberg , Organization  FreeType ,/archive/2019/projects/6267232768753664,https://gist.github.com/nikramakrishnan/f88f3bae3cd2f0ba06d20ab3e0c74fb3,No,Yes,"The aim of this project is to integrate seamless support for the WOFF File Format 2.0 into FreeType so that these fonts can be recognized, decompressed, and loaded as any other SFNT font. This includes study and comparison of how SFNT fonts are wrapped into WOFF 1.0 and WOFF 2.0 files, exploration of existing libraries for WOFF 2.0 and Brotli compression, and finally, writing code to allow FreeType to handle WOFF 2.0 fonts.",[],['https://github.com/google/woff2/issues/124']
4, ARTful Buffer Manager ,The main goal of this project is to implement and evaluate an adaptive radix tree as an alternative to the current underlying data structure of..., mvpant ," Mentor  Andrey Borodin, Stephen Frost ", Organization  PostgreSQL ,/archive/2019/projects/6268535133700096,https://github.com/mvpant/artbufmgr,No,No,"The main goal of this project is to implement and evaluate an adaptive radix tree as an alternative to the current underlying data structure of PostgreSQL’s buffer manager.  The authors of ART presented experiments that indicate
that it is a promising data structure for in-memory indexing of common data types. It is also space efficient, supports fast lookup operation, provides data locality and preserves order. Such properties can be useful during data integrity ensuring process and relation or index removal. Moreover, not only it utilizes the CPU cache more optimally and avoids cache misses, but also opens new perspective directions in the area of IO optimizations, such as prefetching and write combining.",[],[]
5, Revamped Zulip Terminal ,"Zulip Terminal is now being actively developed. Also, the user base for it has been steadily growing; but most of them only use it as a temporary...", Aman Agrawal ," Mentor  Puneeth Chaganti, Neil Pilgrim (neiljp) ", Organization  Zulip Open Source Project ,/archive/2019/projects/6269990724960256,https://gist.github.com/amanagr/4fc8cd0070479c661b569806a2dba01b,No,Yes,"Zulip Terminal is now being actively developed. Also, the user base for it has been steadily growing; but most of them only use it as a temporary client. So, this summer my goal would be to convert Zulip Terminal from being a temporary client to a primary client by implementing the necessary features.",[],[]
6, Basic Support for Trace Compass ,The goal of this project is to enable the Trace Compass to analyze and display some basic information using Event Recording infrastructure. Trace..., Ravindra Kumar Meena ," Mentor  Sebastian Huber, Gedare Bloom, Chris Johns ", Organization  RTEMS Project ,/archive/2019/projects/6270870320840704,https://rmeena840.github.io/final-report/,No,No,"The goal of this project is to enable the Trace Compass to analyze and display some basic information using Event Recording infrastructure. Trace Compass is a software for viewing and analyzing any type of logs or traces. The basic information to analyze and display information may include CPU usage, IRQ analysis(IRQ Statistics, IRQ Table, IRQ vs Count, IRQ vs Time), Linux Kernel(Control Flow, Resources) etc. The advanced support for Trace Compass could include dynamic memory traces, stack usage, network packet flow etc.
If successful in the generation of trace data(LTTng) then, it can be transferred via TCP/UDP(TCP already available) method from target running RTEMS application to the host.",[],[]
7, Integrating Google Calendar with Rocket.Chat ,An app developed on Rocket.Chat App engine to integrate Google Calendar with Rocket.Chat. This can be used to create and manage personal calendar..., KAPIL GAUTAM ," Mentor  Rodrigo Nascimento, Douglas Gubert ", Organization  Rocket.Chat ,/archive/2019/projects/6271734750117888,https://gist.github.com/Gautime/07c8b791bff6ddf0cc1d4be56042079b,No,Yes,An app developed on Rocket.Chat App engine to integrate Google Calendar with Rocket.Chat. This can be used to create and manage personal calendar events. It can also be used to create public events which can be shared with multiple users and takes cares of reminders and notifications.,"['https://github.com/RocketChat/Apps.Google.Calendar/pull/1', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/2', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/3', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/4', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/5', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/11', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/19', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/21', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/23', 'https://github.com/RocketChat/Apps.Google.Calendar/pull/24']",[]
8, Integrating bpftrace with Performance Co-Pilot and Vector ,bpftrace is a high-level tracing language for efficient kernel tracing using eBPF (extended Berkeley Packet Filters). This project creates a new PMDA..., Andreas Gerstmayr ," Mentor  Martin Spier, Nathan Scott, Marko Myllynen ", Organization  Performance Co-Pilot ,/archive/2019/projects/6273490250891264,https://www.andreasgerstmayr.at/gsoc2019/,No,No,"bpftrace is a high-level tracing language for efficient kernel tracing using eBPF (extended Berkeley Packet Filters). This project creates a new PMDA (Performance Metrics Domain Agent) for PCP which runs arbitrary bpftrace scripts and stores the output as PCP metrics, and a new Vector widget which visualizes these collected metrics in a live heat map or table. Furthermore, the Vector widget will include a bpftrace query builder for the rapid creation of bpftrace scripts.",[],[]
9, Evaluating Submission Code in Docker Containers ,The rise of reinforcement learning based problems or any problem which requires that an agent must interact with an environment introduces additional..., Kartik Verma ," Mentor  Deshraj, fristonio, Rishabh Bhardwaj, Rishabh Jain ", Organization  CloudCV ,/archive/2019/projects/6274511849127936,https://medium.com/@vkartik97/gsoc-2019-with-cloudcv-the-end-dfc559f137f,No,No,"The rise of reinforcement learning based problems or any problem which requires that an agent must interact with an environment introduces additional challenges for benchmarking. In contrast to the supervised learning setting where performance is measured by evaluating on a static test set, it is less straightforward to measure generalisation performance of these agents in the context of the interactions with the environment. Evaluating these agents involves running the associated code on a collection of unseen environments that constitutes a hidden test set for such a scenario. The goal of this project is to set up a robust pipeline for uploading prediction code in the form of Docker containers that will be evaluated on remote machines and the results will be displayed on the leaderboard.",[],[]
10, Generalized Global Regularization ,"For this project, I would like to create a new CGAL package that combines the global regularization algorithm from Section 3 of the KIPPI paper,...", Gennadii Sytov , Mentor  Dmitry Anisimov , Organization  CGAL project ,/archive/2019/projects/6276807777583104,https://github.com/CGAL/cgal/issues/4170,No,No,"For this project, I would like to create a new CGAL package that combines the global regularization algorithm from Section 3 of the KIPPI paper, “Kinetic Polygonal Partitioning of Images” by Jean-Phillipe Bauchet and Florent Lafarge and all other regularization techniques that are already available in CGAL. The goal of this project is to create a generic API for the global regularization algorithm, given a set of arbitrary input items, a connectivity among them, and user-defined regularization conditions. The 2D regularization technique described in KIPPI becomes a particular instance of this generic API with the items being 2D lines/segments, the connectivity being a Delaunay triangulation of these items, and the regularization conditions described in the paper. As required, I will write and include all necessary documentation, examples, and tests. This proposal describes the project requirements, anticipated constraints, and the development schedule. I have also included personal information in regards to my academic background and my commitment to CGAL.",[],"['/login?return_to=https%3A%2F%2Fgithub.com%2FCGAL%2Fcgal%2Fissues%2F4170', '/login?return_to=https%3A%2F%2Fgithub.com%2FCGAL%2Fcgal%2Fissues%2F4170', '/login?return_to=https://github.com/CGAL/cgal/issues/4170', '/login?return_to=https://github.com/CGAL/cgal/issues/4170', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc%22', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc-2019%22', 'https://github.com/CGAL/cgal/issues/4170#issue-483287504', 'https://github.com/CGAL/cgal/issues/4170#event-2572295259', 'https://github.com/CGAL/cgal/issues/4170#event-2572295466', 'https://github.com/CGAL/cgal/issues/4170#issuecomment-1190921534', 'https://github.com/CGAL/cgal/issues/4170#issuecomment-1191606294', 'https://github.com/CGAL/cgal/issues/4170#issuecomment-1192090503', '/signup?return_to=https://github.com/CGAL/cgal/issues/4170', '/login?return_to=https://github.com/CGAL/cgal/issues/4170', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc%22', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc-2019%22', 'https://github.com/CGAL/cgal/issues/4170']"
