ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
1, Deep Learning for 3D Computer Vision ,Neural Networks (NN) is one of the most fundamental building blocks of modern Computer vision and it has found its relevance in multiple domains like..., Nirmal Praveen Suthar ," Mentor  Elliot Saba, Avik Pal, Dhairya Gandhi ", Organization  The Julia Language ,/archive/2020/projects/5299496700870656,https://github.com/FluxML/Flux3D.jl,No,Yes,"Neural Networks (NN) is one of the most fundamental building blocks of modern Computer vision and it has found its relevance in multiple domains like image, text, audio, and many more. Various operations, convolution operation in analysing images to recurrent neural networks used to process text uses the principle of NN. Also, researchers have come up with novel deep learning architecture to analyse and find high-order patterns in domains like 3D structure.
However, it is not easy to implement domains like 3D computer vision with essential utilities of NN library (which is primarily focused on classic computer vision). Implementation can generally become complicated and confusing. Also, it's no longer deemed necessary among deep learning enthusiasts to know the traditional computer vision algorithm from the implementation point of view, but they are beneficial from the understanding point of view. Therefore a framework which can unifies and ease the task of 3D vision will be useful to the community.",['https://github.com/FluxML/Flux3D.jl/pull/71'],[]
2, Comparing TARDIS spectra generated with different atomic data sources ,TARDIS relies on Carsus to manage the atomic data necessary to run the simulations. These data comes from a wide variety of sources (laboratories)..., Ezequiel Pássaro ," Mentor  Andreas Flörs, Christian Vogl ", Organization  TARDIS-SN ,/archive/2020/projects/5301481479077888,https://epassaro.github.io/gsoc20,No,Yes,"TARDIS relies on Carsus to manage the atomic data necessary to run the simulations. These data comes from a wide variety of sources (laboratories) and measurements of the same quantity usually differ depending on the source. The effect of these uncertainties on the synthethic spectra is yet unknown.
This project will provide new tools and enhancements in order to make easier working with different atomic files and compare the resulting spectra produced by them.",[],[]
3, Persistent Caching for OpenSCAD ,"OpenSCAD is an open-source 3D modeling software. It uses two main modeling techniques namely, Constructive Solid Geometry (CSG) and extrusion of 2D...", Bharath Chandra ," Mentor  Torsten Paul, Marius Kintel ", Organization  BRL-CAD ,/archive/2020/projects/5302019759276032,https://github.com/openscad/openscad/issues/3417,Yes,Yes,"OpenSCAD is an open-source 3D modeling software. It uses two main modeling techniques namely, Constructive Solid Geometry (CSG) and extrusion of 2D Outlines. OpenSCAD at its core uses CGAL for geometry evaluation and OpenCSG and OpenGL for rendering. 
    OpenSCAD performs huge computations in the process of creating the required geometries. These geometries are stored in the cache for avoiding repetitive computations.  But this cache data is not persistent and destroys when the application closes. The goal of this project is to create a persistent cache system for OpenSCAD which uses a key-value datastore to store cache. This implementation will handle a cache similar to the existing one.",['https://github.com/openscad/openscad/pull/3316'],"['/login?return_to=https%3A%2F%2Fgithub.com%2Fopenscad%2Fopenscad%2Fissues%2F3417', '/login?return_to=https%3A%2F%2Fgithub.com%2Fopenscad%2Fopenscad%2Fissues%2F3417', '/login?return_to=https://github.com/openscad/openscad/issues/3417', '/login?return_to=https://github.com/openscad/openscad/issues/3417', 'https://github.com/openscad/openscad/issues?q=state%3Aopen%20label%3A%22Tag%3A%20GSoC%22', 'https://github.com/openscad/openscad/issues?q=state%3Aopen%20label%3A%22Type%3A%20Enhancement%22', 'https://github.com/openscad/openscad/issues/3417#issue-683952352', 'https://github.com/openscad/openscad/issues/3417#event-3681989514', 'https://github.com/openscad/openscad/issues/3417#event-3695051012', 'https://github.com/openscad/openscad/issues/3417#event-3725378296', 'https://github.com/openscad/openscad/issues/3417#issuecomment-691540835', 'https://github.com/openscad/openscad/issues/3417#event-3759730651', 'https://github.com/openscad/openscad/issues/3417#event-3759730832', 'https://github.com/openscad/openscad/issues/3417#event-5189254735', '/signup?return_to=https://github.com/openscad/openscad/issues/3417', '/login?return_to=https://github.com/openscad/openscad/issues/3417', 'https://github.com/openscad/openscad/issues?q=state%3Aopen%20label%3A%22Tag%3A%20GSoC%22', 'https://github.com/openscad/openscad/issues?q=state%3Aopen%20label%3A%22Type%3A%20Enhancement%22', 'https://github.com/openscad/openscad/issues/3417']"
4, Web-based graphical user interface for LibEuFin ,LibEuFin is a software package that provides access to (currently mainly European) banking APIs via a simplified interface. The goal of this project..., Heng Yeow TAN ," Mentor  Martin Schanzenbach, Florian Dold, Christian Grothoff, ms ", Organization  The GNU Project ,/archive/2020/projects/5304839103315968,https://gist.github.com/tanhengyeow/28d2fdb1a62eec5defaf847fe61dfbc5,No,Yes,"LibEuFin is a software package that provides access to (currently mainly European) banking APIs via a simplified interface. The goal of this project is to develop a graphical interface to the functionality that is currently only exposed via a RESTful HTTP API. The functionality of the UI should include setting up access to accounts, querying/displaying the transaction history of bank accounts and initiating payments.",[],[]
5, Machine Learning for Anomaly Detection in Open Source Communities ,Open-source software development is a collaborative effort that requires decentralized decision making from different developers and maintainers. In..., Sarit Adhikari ," Mentor  Sean Goggins, Carter Landis, Gabe Heim ", Organization  CHAOSS ,/archive/2020/projects/5310055743750144,https://gist.github.com/sarit-adh/e608d6824ef7eefb1245f8438dd60fc8,No,Yes,"Open-source software development is a collaborative effort that requires decentralized decision making from different developers and maintainers. In order to measure the progress of the project, It is important to quantify the code changes across time. CHAOSS provides analytics and metrics to help open source communities measure the impact of the developer’s work on the project and the impact of the project on the community. Augur is a prototyped implementation of the CHAOSS Project on open source software metrics which systematically integrates data from several open-source repositories, issue trackers, mailing lists, etc. Anamoly detection is a common data science strategy of finding extreme data points (outliers), whose features differ vastly from other normal data points. From an open-source software development perspective, it detects unusual surges and drops in development activities like code-commits, pull-requests, etc. This project aims to identify the different types of anomalies that are available from trace data and deliver a personalized notification to the user using several machine learning techniques.","['https://github.com/chaoss/augur/pull/873/', 'https://github.com/chaoss/augur/pull/892']",[]
6, Hand Gesture Recognition Component ,"One of the capabilities of the robot is to efficiently communicate with humans, either through voice or gestures. Currently, EBO is equipped with...", Kanav ," Mentor  Francisco Andrés, Aditya Aggarwal ", Organization  RoboComp ,/archive/2020/projects/5310102854172672,https://gist.github.com/Kanav-7/5cbe51c3575fa44debb5705fa0597900,Yes,Yes,"One of the capabilities of the robot is to efficiently communicate with humans, either through voice or gestures. Currently, EBO is equipped with components that enable it to perform social tasks like face detection, emotion recognition, people identification, etc. The aim of this project is to add upon the existing functionalities by integrating a ‘Hand Gesture Recognition Component’. Hand Gestures are very significant for human-robot interaction. This component can be used as a tool to enable communication between robots and humans. Furthermore, this component will enable the robot to understand American Sign Language (ASL), which will be a really efficient way of communication.
RoboComp is also working on the Human Activity Recognition project. Hand Gestures are a key component in both natural and social human activities. This component when integrated with the Human Activity Recognition Component can be used for various use cases (like detecting commands given by hands), which adds value to this project.","['https://github.com/robocomp/robocomp-robolab/pull/60', 'https://github.com/robocomp/robocomp/pull/266', 'https://github.com/robocomp/robocomp/pull/269', 'https://github.com/robocomp/robocomp-robolab/pull/63', 'https://github.com/robocomp/robocomp-robolab/pull/64', 'https://github.com/robocomp/robocomp/pull/274']",[]
7, Anomaly Detection of the CoreDNS Server through Machine Learning ,"This project aims to try and detect anomalies that occur in a CoreDNS server using a machine learning
model developed in Keras. This project would...", Chanakya Ekbote , Mentor  Yong Tang , Organization  Cloud Native Computing Foundation (CNCF) ,/archive/2020/projects/5314202803109888,https://mlbridge.github.io,No,Yes,"This project aims to try and detect anomalies that occur in a CoreDNS server using a machine learning
model developed in Keras. This project would help automate the process of anomaly detection, and
reduce the necessity to write anomaly detection 'rules'.",[],[]
8, External Fingerprint Storage for Jenkins ,"File fingerprinting is a way to track which version of a file is being used by a job/build, making dependency tracking easy. The fingerprint engine...", stellargo ," Mentor  Oleg Nenashev, michael cirioli, Andrey Falko ", Organization  Jenkins project ,/archive/2020/projects/5316126277369856,https://www.jenkins.io/projects/gsoc/2020/projects/external-fingerprint-storage/,No,Yes,"File fingerprinting is a way to track which version of a file is being used by a job/build, making dependency tracking easy. The fingerprint engine of Jenkins can track usages of artifacts, credentials, files, etc within the system. It does this by maintaining a local XML-based database. This leads to dependence on the physical disk of the Jenkins master. Hence, the core idea of this project is to extend Jenkins core to support storing of fingerprints in an external storage, which would be managed by storage system specific plugins. This would involve designing and creating the external fingerprint storage API. The API would also allow multiple Jenkins instances to store their fingerprints inside a single external storage instance, enabling traceability of artifacts across the CI/CD flow. The project also involves creating two plugins, as reference implementations. These plugins would allow users to store fingerprints inside their Redis and PostgreSQL instances.","['https://github.com/jenkinsci/jenkins/pull/4731', 'https://github.com/jenkinsci/jenkins/pull/4817', 'https://github.com/jenkinsci/jenkins/pull/4825', 'https://github.com/jenkinsci/jenkins/pull/4834', 'https://github.com/jenkinsci/jenkins/pull/4888']",[]
9, Add Support for FHIR Narratives ,FHIR (or Fast Healthcare Interoperability Resources) is a standard for exchanging electronic health records. It describes elements (called resources)..., Shivansh Rakesh ," Mentor  Ian, Suthagar Kailayapathy, Herbert ", Organization  OpenMRS ,/archive/2020/projects/5324470996172800,https://medium.com/@shivanshrakesh/gsoc20-with-openmrs-add-support-for-fhir-narratives-9bbc0bd35153,No,No,"FHIR (or Fast Healthcare Interoperability Resources) is a standard for exchanging electronic health records. It describes elements (called resources) and an API (or application programming interface) for implementation of the same. FHIR Narratives are human-readable representations of resources.
The project aims at adding support for FHIR Narratives to the FHIR2 Module of OpenMRS. Following are the overall objectives of the project:

Create FHIR narratives for all resources defined by OpenMRS FHIR module.
Develop a framework to support implementation-driven overrides for FHIR narratives.
Add support for localization of the generated narratives.",[],[]
